Label,AllocatedBytes,GCs,LiveBytes,MaxBytes,MaxOSBytes,WallTime
"/Bench.Data.DeBruijn.Index/thin/[0,0]",16,0,496,0,0,1.9147081766277552e-3
"/Bench.Data.DeBruijn.Index/thin/[0,1]",16,0,496,56,0,1.897917129099369e-3
"/Bench.Data.DeBruijn.Index/thin/[0,100]",16,0,496,496,0,1.9104999955743551e-3
"/Bench.Data.DeBruijn.Index/thin/[1,0]",0,0,480,480,0,1.9118331838399172e-3
"/Bench.Data.DeBruijn.Index/thin/[1,1]",64,0,512,512,0,1.9038747996091843e-3
"/Bench.Data.DeBruijn.Index/thin/[1,100]",64,0,512,512,0,1.9213748164474964e-3
"/Bench.Data.DeBruijn.Index/thin/[100,0]",0,0,480,480,0,1.912000123411417e-3
"/Bench.Data.DeBruijn.Index/thin/[100,1]",48,0,496,496,0,1.916541950777173e-3
"/Bench.Data.DeBruijn.Index/thin/[100,100]",4816,0,2096,2096,0,1.925540855154395e-3
"/Bench.Data.DeBruijn.Index/thin/[0,4]",16,0,496,496,0,1.9310000352561474e-3
"/Bench.Data.DeBruijn.Index/thin/[0,5]",16,0,496,496,0,1.939374953508377e-3
"/Bench.Data.DeBruijn.Index/thin/[0,6]",16,0,496,496,0,1.9209999591112137e-3
"/Bench.Data.DeBruijn.Index/thin/[4,0]",0,0,480,480,0,1.9436250440776348e-3
"/Bench.Data.DeBruijn.Index/thin/[4,4]",208,0,560,560,0,1.9402920734137297e-3
"/Bench.Data.DeBruijn.Index/thin/[4,5]",208,0,560,560,0,1.9486669916659594e-3
"/Bench.Data.DeBruijn.Index/thin/[4,6]",208,0,560,560,0,1.9425000064074993e-3
"/Bench.Data.DeBruijn.Index/thin/[4,100]",208,0,560,560,0,1.9487501122057438e-3
"/Bench.Data.DeBruijn.Index/thin/[5,0]",0,0,480,480,0,1.9397500436753035e-3
"/Bench.Data.DeBruijn.Index/thin/[5,4]",192,0,544,544,0,1.958124805241823e-3
"/Bench.Data.DeBruijn.Index/thin/[5,5]",256,0,576,576,0,1.9537920597940683e-3
"/Bench.Data.DeBruijn.Index/thin/[5,6]",256,0,576,576,0,1.9371251109987497e-3
"/Bench.Data.DeBruijn.Index/thin/[5,100]",256,0,576,576,0,1.966042211279273e-3
"/Bench.Data.DeBruijn.Index/thin/[6,0]",0,0,480,480,0,1.944374991580844e-3
"/Bench.Data.DeBruijn.Index/thin/[6,4]",192,0,544,544,0,1.9478341564536095e-3
"/Bench.Data.DeBruijn.Index/thin/[6,5]",240,0,560,560,0,1.9584998954087496e-3
"/Bench.Data.DeBruijn.Index/thin/[6,6]",304,0,592,592,0,1.9428329542279243e-3
"/Bench.Data.DeBruijn.Index/thin/[6,100]",304,0,592,592,0,1.9467079546302557e-3
"/Bench.Data.DeBruijn.Index/thin/[100,4]",192,0,544,544,0,1.9761251751333475e-3
"/Bench.Data.DeBruijn.Index/thin/[100,5]",240,0,560,560,0,1.974749844521284e-3
"/Bench.Data.DeBruijn.Index/thin/[100,6]",288,0,576,576,0,1.978375017642975e-3
"/Bench.Data.DeBruijn.Index/thin/[0,9]",16,0,496,496,0,1.978415995836258e-3
"/Bench.Data.DeBruijn.Index/thin/[0,10]",16,0,496,496,0,2.0006250124424696e-3
"/Bench.Data.DeBruijn.Index/thin/[0,11]",16,0,496,496,0,1.994166988879442e-3
"/Bench.Data.DeBruijn.Index/thin/[9,0]",0,0,480,480,0,1.984500093385577e-3
"/Bench.Data.DeBruijn.Index/thin/[9,9]",448,0,640,640,0,1.9945420790463686e-3
"/Bench.Data.DeBruijn.Index/thin/[9,10]",448,0,640,640,0,1.979541964828968e-3
"/Bench.Data.DeBruijn.Index/thin/[9,11]",448,0,640,640,0,1.9926668610423803e-3
"/Bench.Data.DeBruijn.Index/thin/[9,100]",448,0,640,640,0,1.9902908243238926e-3
"/Bench.Data.DeBruijn.Index/thin/[10,0]",0,0,480,480,0,1.973249949514866e-3
"/Bench.Data.DeBruijn.Index/thin/[10,9]",432,0,624,624,0,1.9920419435948133e-3
"/Bench.Data.DeBruijn.Index/thin/[10,10]",496,0,656,656,0,1.991208177059889e-3
"/Bench.Data.DeBruijn.Index/thin/[10,11]",496,0,656,656,0,1.979790860787034e-3
"/Bench.Data.DeBruijn.Index/thin/[10,100]",496,0,656,656,0,1.988708972930908e-3
"/Bench.Data.DeBruijn.Index/thin/[11,0]",0,0,480,480,0,1.9969160202890635e-3
"/Bench.Data.DeBruijn.Index/thin/[11,9]",432,0,624,624,0,1.981999957934022e-3
"/Bench.Data.DeBruijn.Index/thin/[11,10]",480,0,640,640,0,1.9947499968111515e-3
"/Bench.Data.DeBruijn.Index/thin/[11,11]",544,0,672,672,0,1.9879171159118414e-3
"/Bench.Data.DeBruijn.Index/thin/[11,100]",544,0,672,672,0,1.997582847252488e-3
"/Bench.Data.DeBruijn.Index/thin/[100,9]",432,0,624,624,0,1.995959086343646e-3
"/Bench.Data.DeBruijn.Index/thin/[100,10]",480,0,640,640,0,2.0030420273542404e-3
"/Bench.Data.DeBruijn.Index/thin/[100,11]",528,0,656,656,0,2.0026660058647394e-3
"/Bench.Data.DeBruijn.Index/thin/[0,14]",16,0,496,496,0,2.007459057494998e-3
"/Bench.Data.DeBruijn.Index/thin/[0,15]",16,0,496,496,0,2.0122919231653214e-3
"/Bench.Data.DeBruijn.Index/thin/[0,16]",16,0,496,496,0,2.0246251951903105e-3
"/Bench.Data.DeBruijn.Index/thin/[14,0]",0,0,480,480,0,2.0042499527335167e-3
"/Bench.Data.DeBruijn.Index/thin/[14,14]",688,0,720,720,0,2.01595900580287e-3
"/Bench.Data.DeBruijn.Index/thin/[14,15]",688,0,720,720,0,2.0384578965604305e-3
"/Bench.Data.DeBruijn.Index/thin/[14,16]",688,0,720,720,0,2.0165839232504368e-3
"/Bench.Data.DeBruijn.Index/thin/[14,100]",688,0,720,720,0,2.0126658491790295e-3
"/Bench.Data.DeBruijn.Index/thin/[15,0]",0,0,480,480,0,2.042916836217046e-3
"/Bench.Data.DeBruijn.Index/thin/[15,14]",672,0,704,704,0,2.0367500837892294e-3
"/Bench.Data.DeBruijn.Index/thin/[15,15]",736,0,736,736,0,2.033042022958398e-3
"/Bench.Data.DeBruijn.Index/thin/[15,16]",736,0,736,736,0,2.0187499467283487e-3
"/Bench.Data.DeBruijn.Index/thin/[15,100]",736,0,736,736,0,2.031833166256547e-3
"/Bench.Data.DeBruijn.Index/thin/[16,0]",0,0,480,480,0,2.0227080676704645e-3
"/Bench.Data.DeBruijn.Index/thin/[16,14]",672,0,704,704,0,2.031249925494194e-3
"/Bench.Data.DeBruijn.Index/thin/[16,15]",720,0,720,720,0,2.0550000481307507e-3
"/Bench.Data.DeBruijn.Index/thin/[16,16]",784,0,752,752,0,2.031457843258977e-3
"/Bench.Data.DeBruijn.Index/thin/[16,100]",784,0,752,752,0,2.022084081545472e-3
"/Bench.Data.DeBruijn.Index/thin/[100,14]",672,0,704,704,0,2.039083046838641e-3
"/Bench.Data.DeBruijn.Index/thin/[100,15]",720,0,720,720,0,2.034291159361601e-3
"/Bench.Data.DeBruijn.Index/thin/[100,16]",768,0,736,736,0,2.032625023275614e-3
"/Bench.Data.DeBruijn.Index/thin/[0,19]",16,0,496,496,0,2.0548750180751085e-3
"/Bench.Data.DeBruijn.Index/thin/[0,20]",16,0,496,496,0,2.0344580989331007e-3
"/Bench.Data.DeBruijn.Index/thin/[0,21]",16,0,496,496,0,2.047125017270446e-3
"/Bench.Data.DeBruijn.Index/thin/[19,0]",0,0,480,480,0,2.0546249579638243e-3
"/Bench.Data.DeBruijn.Index/thin/[19,19]",928,0,800,800,0,2.0644578617066145e-3
