Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",4.451622194186398e-7,4.4287726282881404e-7,4.515538943504807e-7,1.1704211056982975e-8,4.4121784901818044e-9,2.2782749011096538e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",4.518389893247503e-7,4.476830863548324e-7,4.592205078421124e-7,1.885732094030462e-8,1.2845503032212772e-8,2.9505797451970307e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",4.5429884052788646e-7,4.51715756215297e-7,4.5738028889321824e-7,9.81914087252132e-9,7.899373418787436e-9,1.197934175166467e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",4.500817962280779e-7,4.480348269430622e-7,4.5230459414265335e-7,7.270968212991704e-9,6.0525445152911e-9,8.780759519171666e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",4.4570563636730555e-7,4.432916293424032e-7,4.503394627526514e-7,1.0741005428323252e-8,6.824615100762481e-9,1.5921312366885443e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",4.4736179329717044e-7,4.4533893979032346e-7,4.4923700381298667e-7,6.63186628221819e-9,5.446898209884292e-9,8.221837390072602e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",4.6971263458608885e-7,4.6693409399530446e-7,4.719659888790142e-7,8.764977131491048e-9,7.165701090436087e-9,1.0610115746425097e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",4.676061584179767e-7,4.6614502585178007e-7,4.690734859610934e-7,5.156243083822968e-9,4.3180813018020515e-9,6.534587481855286e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",4.556252131311098e-7,4.5356421432485586e-7,4.5729257417270574e-7,6.040864644688258e-9,5.131379473801439e-9,7.154116893975183e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",4.410007481965735e-7,4.393897394295001e-7,4.4233773309059654e-7,5.032143715832987e-9,4.0959393746092325e-9,6.237986274231432e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",4.48026466233615e-7,4.465561350281002e-7,4.494901848036702e-7,4.968645529967474e-9,4.234011103054413e-9,5.852622324323162e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",4.589517391036688e-7,4.571950026157875e-7,4.6040884653125586e-7,5.14882132803276e-9,4.208271052965367e-9,6.995635729684364e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",4.5976473831378395e-7,4.5793523332719565e-7,4.617907037749502e-7,6.843713385096728e-9,5.242210834545033e-9,9.501623070152096e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",2.6266544704282843e-7,2.6163435084715063e-7,2.6353140000347286e-7,3.2959122168531762e-9,2.5655509131907452e-9,4.360177658937546e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",4.846961584981129e-7,4.822591950520165e-7,4.869243756430285e-7,7.894691041108979e-9,6.964131332843206e-9,9.32602303970699e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",4.795441850498883e-7,4.779191556255297e-7,4.810755961384639e-7,5.205852628756689e-9,4.353171347124708e-9,6.5998688309587125e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",4.792903618114557e-7,4.774046537391322e-7,4.824072676365063e-7,7.995433091739158e-9,6.162658947763077e-9,1.2117954690702603e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",4.803582190296701e-7,4.784401384019363e-7,4.823049288450546e-7,6.684260961970477e-9,5.16495249888471e-9,9.358401010034917e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0001100011,10]",4.790947918263948e-7,4.773761189208428e-7,4.805631090447906e-7,5.392800717760096e-9,4.698384925600865e-9,6.416842150348878e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101110,6,0b0001100011,10]",4.806794523424423e-7,4.785698293328258e-7,4.834472532128866e-7,8.240876572431762e-9,6.980834520288736e-9,9.612883130875285e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000100,6,0b0001100011,10]",3.2257243200801806e-7,3.20991587448688e-7,3.2446021549056926e-7,5.7657418088307384e-9,4.5030993350966126e-9,8.674177936863436e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101001,6,0b0001100011,10]",4.673097303375592e-7,4.657603661948383e-7,4.690221962715726e-7,5.576037044978671e-9,4.8116387578056114e-9,6.808695496698477e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011101,6,0b0001100011,10]",4.840072662503019e-7,4.824505234177411e-7,4.858610021702436e-7,6.072492514589528e-9,5.18043129323252e-9,7.121360661367322e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111100,6,0b0001100011,10]",4.712680388840568e-7,4.702182377812642e-7,4.7217404919236584e-7,3.198089666463141e-9,2.496641655713263e-9,4.232294177822218e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[1,0b011111,6,0b0001100011,10]",5.031418244404177e-7,5.014887299173296e-7,5.07227747237769e-7,7.801917904302287e-9,4.85630833821262e-9,1.4145351606611082e-8
