Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Index/thin/[0,0]",4.728333252810158e-9,4.721469488336821e-9,4.734031160466482e-9,2.1300054194711152e-11,1.8110225822137254e-11,2.5503685481305896e-11
"Bench.Data.DeBruijn.Index/thin/[0,5]",4.786306272000043e-9,4.77029150848943e-9,4.851690369546895e-9,9.1839042387231e-11,2.33977832177015e-11,2.055854171366506e-10
"Bench.Data.DeBruijn.Index/thin/[0,10]",4.78540364025207e-9,4.7757046804351836e-9,4.8043241909237065e-9,4.2629534490064105e-11,2.4349318380346708e-11,6.706581350557032e-11
"Bench.Data.DeBruijn.Index/thin/[0,15]",4.7858183802242265e-9,4.777760957266145e-9,4.7922832578830735e-9,2.3820558632595408e-11,1.7804944957250315e-11,3.3223452975384636e-11
"Bench.Data.DeBruijn.Index/thin/[0,20]",4.800613036210142e-9,4.79419978049106e-9,4.808700715782749e-9,2.4342437903971067e-11,2.0620573111114522e-11,2.8793917734835575e-11
"Bench.Data.DeBruijn.Index/thin/[0,25]",4.797179806055755e-9,4.789631708567494e-9,4.804174327456133e-9,2.4446598172262742e-11,1.9563547041474164e-11,3.0728262378822876e-11
"Bench.Data.DeBruijn.Index/thin/[0,30]",4.84390825600772e-9,4.830993000767373e-9,4.856477628304286e-9,4.4863645007148874e-11,3.8790762695268017e-11,5.0648969414924536e-11
"Bench.Data.DeBruijn.Index/thin/[0,35]",4.8158315142761505e-9,4.808237198744513e-9,4.821489057685972e-9,2.271659176902273e-11,1.9587778698270735e-11,2.7482657052051743e-11
"Bench.Data.DeBruijn.Index/thin/[0,40]",4.8223531511402645e-9,4.814138384930904e-9,4.830794595752758e-9,2.819412850351616e-11,2.1554756114109076e-11,4.016748588665572e-11
"Bench.Data.DeBruijn.Index/thin/[0,45]",4.82788462319195e-9,4.820019824154453e-9,4.844497599814529e-9,3.4855829815572844e-11,2.022065814261239e-11,6.53214108293428e-11
"Bench.Data.DeBruijn.Index/thin/[0,50]",4.824055029067999e-9,4.818511642988953e-9,4.829282219951521e-9,1.868046886789133e-11,1.4912908792465805e-11,2.6141166757064416e-11
"Bench.Data.DeBruijn.Index/thin/[0,55]",4.823553903673342e-9,4.817779182053345e-9,4.827940723949646e-9,1.7462200313089142e-11,1.3810043346826402e-11,2.256265290672188e-11
"Bench.Data.DeBruijn.Index/thin/[0,60]",4.830495481501222e-9,4.823893354042898e-9,4.838907702437111e-9,2.5573447464245032e-11,1.8402327311049277e-11,4.1309149648383323e-11
"Bench.Data.DeBruijn.Index/thin/[0,65]",4.8274162147530875e-9,4.8213520084538085e-9,4.832307636501463e-9,1.8056358281612122e-11,1.4369815086096276e-11,2.4212497108367614e-11
"Bench.Data.DeBruijn.Index/thin/[0,70]",4.826028871562508e-9,4.81922910850526e-9,4.83002812903465e-9,1.7341070406642728e-11,1.0978901902203822e-11,2.928586650609261e-11
"Bench.Data.DeBruijn.Index/thin/[0,75]",4.828838951798226e-9,4.823940181149076e-9,4.832237464427175e-9,1.363875593265649e-11,9.726105761674671e-12,2.0750625885862e-11
"Bench.Data.DeBruijn.Index/thin/[0,80]",4.833937614682393e-9,4.828440074577291e-9,4.848231110293569e-9,2.7716987488829302e-11,1.362791858939905e-11,5.270469651174571e-11
"Bench.Data.DeBruijn.Index/thin/[0,85]",4.847230513460815e-9,4.836585776353687e-9,4.859641048980105e-9,3.8716580911145816e-11,2.926050398091656e-11,5.095866250372676e-11
"Bench.Data.DeBruijn.Index/thin/[0,90]",4.841145344345549e-9,4.833524515912205e-9,4.853402951597052e-9,3.085503816978171e-11,2.018247005857427e-11,4.754861170767717e-11
"Bench.Data.DeBruijn.Index/thin/[0,95]",4.838696320867478e-9,4.83351852536339e-9,4.8451272645992925e-9,1.9018123471188306e-11,1.4594432792309764e-11,2.536341411243357e-11
"Bench.Data.DeBruijn.Index/thin/[0,100]",4.841729832516876e-9,4.8324246002101415e-9,4.856470324642087e-9,3.641557210834906e-11,2.268149954843032e-11,5.620629949732661e-11
"Bench.Data.DeBruijn.Index/thin/[5,0]",4.7899535433916296e-9,4.7838461610675606e-9,4.79452369311982e-9,1.826653291797913e-11,1.311897131089719e-11,2.6456628422983433e-11
"Bench.Data.DeBruijn.Index/thin/[5,5]",4.834010397080396e-9,4.8299915617694896e-9,4.83987213935289e-9,1.676145247451689e-11,1.0688260923264025e-11,2.5159500427594257e-11
"Bench.Data.DeBruijn.Index/thin/[5,10]",4.846688730252301e-9,4.837900251394598e-9,4.863456761216613e-9,3.839056712585469e-11,2.1328942433693647e-11,6.803865101594548e-11
"Bench.Data.DeBruijn.Index/thin/[5,15]",4.8425724497379534e-9,4.8330177239954045e-9,4.8656527546668915e-9,4.7597912255799826e-11,1.3765434261551074e-11,8.799748934138252e-11
"Bench.Data.DeBruijn.Index/thin/[5,20]",4.836213139227484e-9,4.83059628638198e-9,4.844478475535773e-9,2.2264875430266774e-11,1.5988272295533098e-11,3.410012097233724e-11
