Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",1.8866859728847253e-7,1.8690779251791783e-7,1.925033174669084e-7,7.902268595296335e-9,4.853524700615606e-9,1.4519882273562916e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",1.983202092927586e-7,1.9690499875592086e-7,2.0033899738959158e-7,5.5004234653248425e-9,4.0228833771193495e-9,7.3976634935900366e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",1.9928402106866094e-7,1.982018306479708e-7,2.0084258730509743e-7,4.374147877503407e-9,3.2767090326429227e-9,5.992451552396487e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",1.9637780575229082e-7,1.9563426724779666e-7,1.9767019727170866e-7,3.249637201485204e-9,2.084902103398094e-9,5.488804610571524e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",1.9363587806076028e-7,1.9278251825412715e-7,1.9494596426834648e-7,3.626102297635454e-9,2.803212148940498e-9,5.393705586220504e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",1.978488960568206e-7,1.9669027547078829e-7,1.9921209760481186e-7,4.406277611265725e-9,3.807335296494255e-9,5.200689169872585e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",1.9502005123663648e-7,1.9451631142460841e-7,1.954194126345461e-7,1.583816592010401e-9,1.2597280982858861e-9,2.1263880998529988e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",2.0467184629010862e-7,2.030500972122174e-7,2.073655103470384e-7,7.23178437407888e-9,4.903308155661225e-9,9.901386395395515e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",2.0143813374007867e-7,2.0016029261129866e-7,2.027158932103541e-7,4.387612722872801e-9,3.705236556520384e-9,5.332284790290961e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",1.983317643848346e-7,1.9605953701482094e-7,2.0339680202950192e-7,1.072260644240102e-8,5.491686247745055e-9,2.034261870573931e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",1.9496179922741827e-7,1.9401848722843333e-7,1.9625465357882186e-7,3.717579936491281e-9,2.9790629556810975e-9,4.790745001259295e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",2.063874978523831e-7,2.0514178450520437e-7,2.0772973278293548e-7,4.092586899020563e-9,3.3129005030442887e-9,5.0964084184486895e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",2.0528102327468328e-7,2.0380076381668844e-7,2.0752988172983064e-7,6.1220230921818355e-9,4.371387341220438e-9,1.0327511113250296e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",1.1757193593228735e-7,1.171360264575181e-7,1.1820200929626384e-7,1.760970352179483e-9,1.3036232114311982e-9,2.400090775162415e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",2.1308906020866415e-7,2.119658815264274e-7,2.141963237950134e-7,3.6874926069158934e-9,2.8243131697570484e-9,4.789297413625072e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",2.1046186999125544e-7,2.0930994486712173e-7,2.1147285577563334e-7,3.7104188111827425e-9,2.798077244609487e-9,5.250005522698343e-9
