Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Index/thin/[0,0]",6.199902220918353e-9,6.023569963448275e-9,6.660105184278235e-9,8.192671834745799e-10,1.1662313043778828e-10,1.4679427121892916e-9
"Data.DeBruijn.Index/thin/[0,5]",6.02293160501782e-9,5.998399464229665e-9,6.087268252713965e-9,1.2130358126271337e-10,5.951294408576672e-11,2.4276586211757507e-10
"Data.DeBruijn.Index/thin/[0,10]",6.0394304381636834e-9,6.010099354855475e-9,6.17315120755511e-9,1.6281155470151547e-10,5.355740744719641e-11,3.4842016309695864e-10
"Data.DeBruijn.Index/thin/[0,15]",6.005340156747625e-9,5.993985615305198e-9,6.024424669205712e-9,4.846352070512319e-11,3.315900342525015e-11,7.755881903727905e-11
"Data.DeBruijn.Index/thin/[0,20]",6.010032331462276e-9,5.9978391915354684e-9,6.035302202986222e-9,5.816733287647854e-11,3.7196150486477015e-11,9.324395564262405e-11
"Data.DeBruijn.Index/thin/[0,25]",6.011575302729252e-9,5.995102521458586e-9,6.035477308760477e-9,6.565581441207607e-11,4.161131701255016e-11,8.787201580799664e-11
"Data.DeBruijn.Index/thin/[0,30]",6.018604211829158e-9,6.002961847923409e-9,6.041012589811573e-9,6.489858979576395e-11,4.4521313449003246e-11,1.0422587310035836e-10
"Data.DeBruijn.Index/thin/[0,35]",6.074461570376711e-9,5.9980797639832855e-9,6.306799578443712e-9,4.0826783142517044e-10,6.114941440423037e-11,8.145523964462469e-10
"Data.DeBruijn.Index/thin/[0,40]",6.0927224107342024e-9,6.030760995406371e-9,6.282143945555354e-9,3.1897321242393627e-10,1.2236533617964397e-10,6.769152228687955e-10
"Data.DeBruijn.Index/thin/[0,45]",6.038279228999442e-9,6.007540507986934e-9,6.081019192471675e-9,1.196726301273392e-10,8.708863216207851e-11,1.595708198018204e-10
"Data.DeBruijn.Index/thin/[0,50]",5.97958105726492e-9,5.9678670243986325e-9,6.000499349904186e-9,5.311328441217344e-11,2.977615463568618e-11,7.912456894712989e-11
"Data.DeBruijn.Index/thin/[0,55]",6.051636712934358e-9,6.020634126949213e-9,6.096839847117936e-9,1.2078526190599162e-10,9.881698913409008e-11,1.5262884421161185e-10
"Data.DeBruijn.Index/thin/[0,60]",5.991042087472393e-9,5.9797420288299146e-9,6.010536766210159e-9,5.073694375597221e-11,3.092933064137352e-11,7.982227185957837e-11
"Data.DeBruijn.Index/thin/[0,65]",5.9884001424692374e-9,5.9761460970835434e-9,6.012713779400798e-9,5.552524530532985e-11,3.204491786158664e-11,8.897908582588622e-11
"Data.DeBruijn.Index/thin/[0,70]",6.018853396250275e-9,5.993459369375889e-9,6.0721382321389404e-9,1.1943869192587554e-10,6.672110468019192e-11,2.151006654104895e-10
"Data.DeBruijn.Index/thin/[0,75]",5.980300370016885e-9,5.9732873469183284e-9,5.993492477338573e-9,3.131017952559236e-11,1.7877860148967215e-11,5.127178218691364e-11
"Data.DeBruijn.Index/thin/[0,80]",5.979013647265964e-9,5.97289301928264e-9,5.989002109129834e-9,2.6032672809494862e-11,1.8550810011261624e-11,3.8104516303506776e-11
"Data.DeBruijn.Index/thin/[0,85]",5.975835174336973e-9,5.970598300563074e-9,5.984212017271768e-9,2.244703796487917e-11,1.6614983684596555e-11,3.1994256951238394e-11
"Data.DeBruijn.Index/thin/[0,90]",5.980926986221249e-9,5.971973549585591e-9,6.000648606776894e-9,4.332214170242451e-11,2.0789626512728563e-11,7.468779946988003e-11
"Data.DeBruijn.Index/thin/[0,95]",5.974644889293302e-9,5.968596730500795e-9,5.985192314592054e-9,2.5628881620348857e-11,1.6752372794720536e-11,3.8891978202213185e-11
"Data.DeBruijn.Index/thin/[0,100]",5.988365628136572e-9,5.97901607090154e-9,6.003279993808772e-9,3.9334893394112363e-11,2.830062942206265e-11,5.48684163132791e-11
"Data.DeBruijn.Index/thin/[5,0]",5.7446840638566464e-9,5.738526385165552e-9,5.75348844534082e-9,2.518073391996726e-11,1.682574002426947e-11,3.3719266427450917e-11
"Data.DeBruijn.Index/thin/[5,5]",5.987628627540743e-9,5.9784438857445595e-9,6.00067596550218e-9,3.5015992701584564e-11,2.4428315023891984e-11,4.649510686234342e-11
"Data.DeBruijn.Index/thin/[5,10]",5.978368035696789e-9,5.9716381977942726e-9,5.990694073679532e-9,3.036977065845396e-11,2.0570172206939925e-11,4.260705887660201e-11
"Data.DeBruijn.Index/thin/[5,15]",5.977638162189341e-9,5.970362076859457e-9,5.990399601946975e-9,3.00934354689402e-11,2.2088574976865658e-11,4.200642925503288e-11
"Data.DeBruijn.Index/thin/[5,20]",5.97189837508552e-9,5.966607107725196e-9,5.983236853052469e-9,2.4726549464810454e-11,1.454503913545809e-11,4.591557755100227e-11
"Data.DeBruijn.Index/thin/[5,25]",5.981207636909445e-9,5.9734213927982275e-9,5.992649801373494e-9,3.030127811778194e-11,2.3832136791391595e-11,4.009746610572902e-11
"Data.DeBruijn.Index/thin/[5,30]",6.025436468966017e-9,5.99796771205377e-9,6.077950414209564e-9,1.214592916296115e-10,5.5610049197289605e-11,2.1545538190655789e-10
"Data.DeBruijn.Index/thin/[5,35]",6.002230794594386e-9,5.9927030797075704e-9,6.0149574938652895e-9,3.7072533680052824e-11,2.567215864978181e-11,5.40795820080875e-11
"Data.DeBruijn.Index/thin/[5,40]",6.0037356600219735e-9,5.991275715641243e-9,6.0254766336855415e-9,5.210121876023881e-11,3.2616054383796155e-11,7.708467588206844e-11
"Data.DeBruijn.Index/thin/[5,45]",6.004568772760754e-9,5.992677307357246e-9,6.025051175007195e-9,4.93331465657969e-11,3.027941981781145e-11,8.791831563264718e-11
