Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Index/thin/[0,0]",5.265071970096968e-9,5.254357711540169e-9,5.284137247735407e-9,4.642013575610307e-11,2.961396435508579e-11,6.503522703805327e-11
"Data.DeBruijn.Index/thin/[0,5]",5.27619731717517e-9,5.2694815261657845e-9,5.284843907467399e-9,2.548692987047004e-11,1.7080966163453948e-11,3.517599046922098e-11
"Data.DeBruijn.Index/thin/[0,10]",5.2781274037758415e-9,5.271826006255825e-9,5.296185346444521e-9,3.2369992678637647e-11,1.3763961517575903e-11,6.168941332482385e-11
"Data.DeBruijn.Index/thin/[0,15]",5.278097948380038e-9,5.271518880614776e-9,5.288073845876918e-9,2.6942242833430503e-11,1.696549970592081e-11,3.7883064608880864e-11
"Data.DeBruijn.Index/thin/[0,20]",5.270786459350185e-9,5.266737766310488e-9,5.27635277473314e-9,1.5933710658025783e-11,1.2201776523902019e-11,2.0883402126869976e-11
"Data.DeBruijn.Index/thin/[0,25]",5.275291931334387e-9,5.269374922175452e-9,5.284638841888006e-9,2.4270337755474443e-11,1.7284934843881417e-11,3.483557485740342e-11
"Data.DeBruijn.Index/thin/[0,30]",5.278496884787424e-9,5.272985109053014e-9,5.290925499928303e-9,2.752877605707973e-11,1.5175921426734695e-11,5.26065694048967e-11
"Data.DeBruijn.Index/thin/[0,35]",5.2771285907379134e-9,5.270563356748131e-9,5.2870588040013276e-9,2.6760168931463595e-11,1.845639229930372e-11,3.712519626573135e-11
"Data.DeBruijn.Index/thin/[0,40]",5.277156224535407e-9,5.271509959260052e-9,5.28592981262403e-9,2.29239160146213e-11,1.578849730662317e-11,3.281588042864155e-11
"Data.DeBruijn.Index/thin/[0,45]",5.279589370472426e-9,5.2731985267735045e-9,5.2931253662293945e-9,2.7622277896344366e-11,1.775448126195487e-11,4.161666277217683e-11
"Data.DeBruijn.Index/thin/[0,50]",5.333763890637154e-9,5.266805452939142e-9,5.599205860099555e-9,4.2776201856996843e-10,1.6681030263207915e-11,9.10162436829828e-10
"Data.DeBruijn.Index/thin/[0,55]",5.286089821659687e-9,5.276018269500128e-9,5.306371717708834e-9,4.616619004461372e-11,2.7080336980314293e-11,7.085740315878473e-11
"Data.DeBruijn.Index/thin/[0,60]",5.273614717888111e-9,5.268712892130912e-9,5.280611462904506e-9,2.02300680338133e-11,1.4464377103428766e-11,2.6443834688974615e-11
"Data.DeBruijn.Index/thin/[0,65]",5.277659706196885e-9,5.269567227839507e-9,5.295968001228456e-9,3.824532040373171e-11,1.7190473907191602e-11,7.423141354361986e-11
"Data.DeBruijn.Index/thin/[0,70]",5.279549427431291e-9,5.272579813240257e-9,5.291312067201222e-9,2.976351268697158e-11,1.632650586591093e-11,5.175655668467752e-11
"Data.DeBruijn.Index/thin/[0,75]",5.274624109584631e-9,5.268912841554848e-9,5.290759566659616e-9,2.849383802521348e-11,1.2516751948836974e-11,5.96995008506374e-11
"Data.DeBruijn.Index/thin/[0,80]",5.2722734499903355e-9,5.266919412198608e-9,5.28301663824545e-9,2.54283606120726e-11,1.3083670911290233e-11,4.3034695487841335e-11
"Data.DeBruijn.Index/thin/[0,85]",5.27526465519767e-9,5.269957394076354e-9,5.283254362317452e-9,2.2622178918596354e-11,1.51910469318318e-11,3.5431704011603646e-11
"Data.DeBruijn.Index/thin/[0,90]",5.277771297978161e-9,5.27076966209732e-9,5.295289479828418e-9,3.457796782033036e-11,1.6587660289941915e-11,6.528746007437485e-11
"Data.DeBruijn.Index/thin/[0,95]",5.278107778636103e-9,5.271761557232212e-9,5.288621912666873e-9,2.8452545925738667e-11,1.8287779863825515e-11,4.453579221304811e-11
"Data.DeBruijn.Index/thin/[0,100]",5.279258870277669e-9,5.27392810919173e-9,5.28685716588002e-9,2.088443732366016e-11,1.498036527629972e-11,2.8306886477792426e-11
"Data.DeBruijn.Index/thin/[5,0]",6.03123919593778e-9,6.025037332137635e-9,6.041779631317049e-9,2.5997715072768904e-11,1.828150550294835e-11,4.0043046988986064e-11
"Data.DeBruijn.Index/thin/[5,5]",5.2760239548752435e-9,5.270605808864e-9,5.284300649850012e-9,2.2853654864949673e-11,1.6611579689702983e-11,2.924619493104899e-11
"Data.DeBruijn.Index/thin/[5,10]",5.28261030091693e-9,5.271806506369058e-9,5.315554804454976e-9,5.884190491229665e-11,1.6548468900687227e-11,1.0984989496066505e-10
"Data.DeBruijn.Index/thin/[5,15]",5.282723405737496e-9,5.273733808114414e-9,5.298933024201889e-9,3.9951303873363474e-11,2.6775766266868045e-11,6.515099794698475e-11
"Data.DeBruijn.Index/thin/[5,20]",5.280779060265715e-9,5.272171371357085e-9,5.297849497136911e-9,3.889175149591746e-11,2.1681461352177183e-11,6.095756674445528e-11
"Data.DeBruijn.Index/thin/[5,25]",5.284442632414107e-9,5.273517016534751e-9,5.321584604525326e-9,5.697179362680018e-11,2.1413253860195702e-11,1.2483866595657762e-10
"Data.DeBruijn.Index/thin/[5,30]",5.321888193197468e-9,5.31333044008054e-9,5.331556421255065e-9,3.0865874958360067e-11,2.484293814071098e-11,3.840423272023915e-11
"Data.DeBruijn.Index/thin/[5,35]",5.282281689851911e-9,5.273118458441813e-9,5.2983217885571735e-9,3.952667024281171e-11,2.5816860153345338e-11,5.938322732309137e-11
"Data.DeBruijn.Index/thin/[5,40]",5.2828452586561e-9,5.273225856649937e-9,5.3056270116530995e-9,4.58515803538924e-11,2.0557772037389857e-11,8.546007063375683e-11
"Data.DeBruijn.Index/thin/[5,45]",5.278007248987521e-9,5.270178708334837e-9,5.291945973811925e-9,3.473678152994822e-11,1.7289183789935936e-11,5.762703987081892e-11
"Data.DeBruijn.Index/thin/[5,50]",5.276533072545992e-9,5.269014168531163e-9,5.308764014035982e-9,4.4081279205109714e-11,1.2844237442349393e-11,9.701179883838887e-11
"Data.DeBruijn.Index/thin/[5,55]",5.426927570594132e-9,5.390832951081724e-9,5.494538665037496e-9,1.537476290520096e-10,1.1001215256014746e-10,2.413207290784422e-10
"Data.DeBruijn.Index/thin/[5,60]",5.279238929881949e-9,5.272228873696716e-9,5.302464985107499e-9,3.788617212916197e-11,1.7058808166189565e-11,7.257800778270041e-11
"Data.DeBruijn.Index/thin/[5,65]",5.274066715413605e-9,5.268782098665878e-9,5.284892587455181e-9,2.4810337828892644e-11,1.6636831588333496e-11,3.639787977693393e-11
"Data.DeBruijn.Index/thin/[5,70]",5.279981418661506e-9,5.273425495556592e-9,5.293142827889879e-9,3.133940471060602e-11,2.2164492708526416e-11,4.805198130693076e-11
"Data.DeBruijn.Index/thin/[5,75]",5.28103446120145e-9,5.273400863979053e-9,5.295406864554076e-9,3.279786987656158e-11,2.2189724824026223e-11,6.160124338293901e-11
"Data.DeBruijn.Index/thin/[5,80]",5.276098621263304e-9,5.2696463114388565e-9,5.291634077437281e-9,3.2122029711346055e-11,1.7186254329679877e-11,5.91040836323684e-11
"Data.DeBruijn.Index/thin/[5,85]",5.273801903143497e-9,5.268323717165048e-9,5.286107987399301e-9,2.632012569193793e-11,1.5688089632166222e-11,4.3328241473016874e-11
"Data.DeBruijn.Index/thin/[5,90]",5.274559440967286e-9,5.26865241650756e-9,5.286132155841763e-9,2.60775910469752e-11,1.4517918115105784e-11,4.574673638032132e-11
"Data.DeBruijn.Index/thin/[5,95]",5.277938243548333e-9,5.271123735529453e-9,5.2906435890509855e-9,3.148355012522133e-11,1.7232231603701605e-11,5.373410321462955e-11
"Data.DeBruijn.Index/thin/[5,100]",5.278630959112381e-9,5.272614815655682e-9,5.286855728294672e-9,2.2718730788448992e-11,1.757672242308953e-11,2.922316089407128e-11
"Data.DeBruijn.Index/thin/[10,0]",6.029665411058911e-9,6.023659968806316e-9,6.038765241553424e-9,2.3434402621041115e-11,1.6751024779966003e-11,3.331124488967693e-11
"Data.DeBruijn.Index/thin/[10,5]",6.03470018117014e-9,6.028556994524847e-9,6.044479271698114e-9,2.576945705967491e-11,1.9708199348177015e-11,3.308802909718728e-11
"Data.DeBruijn.Index/thin/[10,10]",5.314365625165548e-9,5.304106388496715e-9,5.339990800708181e-9,5.1368498891360385e-11,2.6562713618780195e-11,9.664244201982102e-11
"Data.DeBruijn.Index/thin/[10,15]",5.279522154416705e-9,5.273040747547497e-9,5.288574624767211e-9,2.5914262381412372e-11,1.844013447625595e-11,3.9423155461265614e-11
"Data.DeBruijn.Index/thin/[10,20]",5.2823602403634125e-9,5.275441287512739e-9,5.299085393277913e-9,3.4767827797865066e-11,2.0520071891051014e-11,6.378055140880006e-11
"Data.DeBruijn.Index/thin/[10,25]",5.2808651437879765e-9,5.270999808312125e-9,5.301213243485393e-9,4.428685918235155e-11,2.575106142687119e-11,7.140610527238946e-11
