Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Index/thin/[0,0]",4.837086934671789e-9,4.833059225814985e-9,4.841374860114391e-9,1.4206297702921386e-11,1.11901941570328e-11,2.0650024134885798e-11
"Bench.Data.DeBruijn.Index/thin/[0,5]",4.835143048024815e-9,4.833422161517239e-9,4.837864956846145e-9,7.281230823508984e-12,5.0839166194303095e-12,1.0900220661549846e-11
"Bench.Data.DeBruijn.Index/thin/[0,10]",4.860561874808804e-9,4.853348788701074e-9,4.874836372660281e-9,3.142339526702383e-11,6.595080316951085e-12,5.4905613664785447e-11
"Bench.Data.DeBruijn.Index/thin/[0,15]",4.843114513642895e-9,4.83633173561348e-9,4.862457496138021e-9,3.453168600507914e-11,6.495784243416322e-12,6.505093727032522e-11
"Bench.Data.DeBruijn.Index/thin/[0,20]",4.836200277254361e-9,4.834933877009924e-9,4.8384962853348755e-9,5.800929482129378e-12,3.7547981029522874e-12,9.317357203886401e-12
"Bench.Data.DeBruijn.Index/thin/[0,25]",4.8563935834584395e-9,4.847515719672421e-9,4.870536926076842e-9,3.770184030253035e-11,2.7973450190283413e-11,5.687465978927231e-11
"Bench.Data.DeBruijn.Index/thin/[0,30]",4.836567810622983e-9,4.8348778459930865e-9,4.83947259079074e-9,7.292283779792553e-12,4.737123856778483e-12,1.2163558644411581e-11
"Bench.Data.DeBruijn.Index/thin/[0,35]",4.835657530111052e-9,4.834459957313665e-9,4.8372333783600475e-9,4.66307751185701e-12,3.3994034570081155e-12,6.373666713688181e-12
"Bench.Data.DeBruijn.Index/thin/[0,40]",4.838985481976197e-9,4.8360652572407515e-9,4.847649495076542e-9,1.5407854075522295e-11,5.3728010811612505e-12,3.110104410700278e-11
"Bench.Data.DeBruijn.Index/thin/[0,45]",4.840074083712808e-9,4.835571978972215e-9,4.851512533324971e-9,2.3217442395246253e-11,7.1311063008313466e-12,4.2274007520610126e-11
"Bench.Data.DeBruijn.Index/thin/[0,50]",4.835349735119552e-9,4.834060051191074e-9,4.838373808367871e-9,6.2933421024168524e-12,3.0221935622365746e-12,1.1692887206972355e-11
"Bench.Data.DeBruijn.Index/thin/[0,55]",4.836475931616258e-9,4.834594466232386e-9,4.839408998410855e-9,8.441632243643325e-12,5.882550167022938e-12,1.2626361643371769e-11
"Bench.Data.DeBruijn.Index/thin/[0,60]",4.841832029524204e-9,4.8363663769186736e-9,4.866456233756622e-9,3.262708721687429e-11,7.209488854966936e-12,7.336394582023435e-11
"Bench.Data.DeBruijn.Index/thin/[0,65]",4.835398151632748e-9,4.833741022500821e-9,4.8370053972660785e-9,5.7510947486075075e-12,4.739820146544296e-12,7.071636079169453e-12
