Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",4.813961379907118e-7,4.800769992439786e-7,4.836489766952935e-7,5.6645434836289515e-9,3.678865166060978e-9,8.170327890883138e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",4.87058462514091e-7,4.852861686703463e-7,4.890026582615879e-7,6.181941438157898e-9,5.614265112486381e-9,7.0342351104460595e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",4.926025389832453e-7,4.909025332133966e-7,4.944418775226797e-7,5.746400233422886e-9,4.684624754182066e-9,7.0940136653454675e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",4.873163743052286e-7,4.851815184218561e-7,4.892092263204807e-7,6.351087755654803e-9,5.6585515164161046e-9,7.470946440321795e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",4.7331892498426676e-7,4.7129956629822675e-7,4.759365589501577e-7,7.291741067290742e-9,6.007347499343681e-9,9.17788388589936e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",4.767410882378951e-7,4.7613832774501105e-7,4.772519958650412e-7,1.9781488275800047e-9,1.5742394905885948e-9,2.615301781070989e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",4.96713700010968e-7,4.949043275245936e-7,4.984228007723051e-7,5.776966237303843e-9,4.9349285228334196e-9,6.736653413059035e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",4.993511859247484e-7,4.975700238215856e-7,5.017526017954224e-7,6.9805191095207615e-9,5.675147800363334e-9,8.449388370301602e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",4.837609023846668e-7,4.820846820841463e-7,4.857634061444759e-7,6.13560583782577e-9,5.306660124086394e-9,7.820824428914813e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",4.715163000537646e-7,4.700777194209959e-7,4.7308698885791975e-7,5.4191555292457625e-9,4.75110878877794e-9,6.1625369186028486e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",4.767298577878802e-7,4.754221853858666e-7,4.782634120323353e-7,4.67784982286514e-9,3.9483992677059465e-9,5.7552563347533225e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",4.871410068262175e-7,4.851830609234638e-7,4.905504000242538e-7,8.067565546186662e-9,4.858201090396232e-9,1.3782979936752288e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",4.805094761591428e-7,4.783817293233606e-7,4.838453794978637e-7,8.533338436263998e-9,5.758434910500124e-9,1.3526004531793093e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",2.6995043675704787e-7,2.687915917874843e-7,2.7116635796959547e-7,4.078189812647553e-9,3.6121192354065987e-9,4.666611177767119e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",5.032954819872116e-7,5.014032499091938e-7,5.051563427083199e-7,6.159675343843589e-9,5.310769124546435e-9,7.65038034848286e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",5.009786017656542e-7,4.991599845783629e-7,5.027440314119019e-7,5.981837596909089e-9,5.2297734869564546e-9,6.989628663688561e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",5.04834019311242e-7,5.023140285473287e-7,5.074661030263686e-7,8.927123121549124e-9,7.949149533318662e-9,1.0573966268157517e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",4.876470153839435e-7,4.8535242923469e-7,4.907398783726834e-7,8.519146851292423e-9,5.818264002638648e-9,1.2994255528687619e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0001100011,10]",4.966623977876592e-7,4.954622757297308e-7,4.980433914206987e-7,4.449918398107024e-9,3.6223711973451305e-9,5.34681195641484e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101110,6,0b0001100011,10]",4.973744440247231e-7,4.956551312216963e-7,4.994756585395576e-7,6.539406516147583e-9,5.317287509305984e-9,8.368860467070407e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000100,6,0b0001100011,10]",3.3408559346623356e-7,3.3303460163223966e-7,3.352672490405962e-7,3.706979370215705e-9,3.125883164014889e-9,4.486521080500197e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101001,6,0b0001100011,10]",4.871657714016021e-7,4.856957615034705e-7,4.88317102022349e-7,4.438797366289743e-9,3.34756814845705e-9,5.978881912843142e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011101,6,0b0001100011,10]",5.052679440261845e-7,5.044238756042137e-7,5.060153304700145e-7,2.6236323028940186e-9,2.1270143223347577e-9,3.797166807456866e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111100,6,0b0001100011,10]",4.898033612024672e-7,4.891855688256902e-7,4.904487137993806e-7,2.1125823193036857e-9,1.8205131098500263e-9,2.5539493440052633e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[1,0b011111,6,0b0001100011,10]",5.150615905716237e-7,5.133838017552193e-7,5.171880581943421e-7,6.58943967355307e-9,5.838577424950279e-9,7.599977133365402e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101100,6,0b0001100011,10]",4.865426318467978e-7,4.840025889543683e-7,4.892140920070245e-7,8.668880098235109e-9,6.939274071113096e-9,1.1661886626012821e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b110110,6,0b0001100011,10]",5.022997969173339e-7,5.008672765325376e-7,5.037177746376274e-7,4.858818857611626e-9,3.821112598942621e-9,6.716714614621526e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110010,6,0b0001100011,10]",4.811860833669931e-7,4.797644910996866e-7,4.827985884796379e-7,5.339920493210587e-9,4.44382017941486e-9,7.136462589695521e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b010110,6,0b0001100011,10]",5.077845683892585e-7,5.064367768978799e-7,5.092947187107488e-7,4.93098069009299e-9,4.389395419543959e-9,5.550037592036162e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001011,6,0b0001100011,10]",4.932873357351446e-7,4.913160415939793e-7,4.954896334244391e-7,6.735002315916864e-9,5.5680697031683736e-9,9.1548200739083e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0100110100,10]",5.783494856084134e-7,5.762048614387519e-7,5.808274690110249e-7,7.715328548431156e-9,6.6909137598575485e-9,8.94519944607374e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0100110100,10]",4.930016515529296e-7,4.906886763611993e-7,4.956770014475182e-7,8.348863392322325e-9,7.387983098573105e-9,9.441210101048798e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100101,6,0b0100110100,10]",6.218818786974975e-7,6.193545993218452e-7,6.246099939356057e-7,8.9037827006631e-9,7.770368057817919e-9,1.0576578715048348e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[1,0b101111,6,0b0100110100,10]",6.699167747163822e-7,6.684156990271217e-7,6.725276279134896e-7,6.544448361958688e-9,4.228652383990193e-9,1.0789054000390651e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0100110100,10]",6.366230359764009e-7,6.343790338238727e-7,6.388258466157372e-7,7.803957284352479e-9,6.826321909758441e-9,9.276013624463575e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b100001,6,0b0100110100,10]",6.017816985090246e-7,6.000094738562217e-7,6.041894289169137e-7,6.9299283666545225e-9,4.948708052746246e-9,9.604596623860605e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0100110100,10]",4.741614579645944e-7,4.7237373205046387e-7,4.7635979822412245e-7,6.584865464747153e-9,5.683082261648622e-9,7.721690905501857e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[6,0b000000,6,0b0100110100,10]",7.3499184155397336e-9,7.325226834715776e-9,7.420822390738179e-9,1.2263978222437198e-10,5.697624844573414e-11,2.3271174419969015e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0100110100,10]",6.242309017026663e-7,6.214736319493895e-7,6.274000682960367e-7,9.525749882555456e-9,7.114815202497152e-9,1.2989534845217443e-8
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000001,6,0b0100110100,10]",7.306599642939115e-8,7.274339781172244e-8,7.344766738208103e-8,1.1613513064287564e-9,9.509554372725048e-10,1.4460099380434904e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b010110,6,0b0100110100,10]",5.715188553844606e-7,5.699981661286503e-7,5.736393050571529e-7,5.9978360137441626e-9,4.4831769833054146e-9,9.147853868541934e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0100110100,10]",5.478860543995171e-7,5.467642139627602e-7,5.488619835579518e-7,3.440499855050093e-9,2.8935470655993307e-9,4.200977655414061e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0100110100,10]",6.155227592947131e-7,6.132890902626231e-7,6.175057606466548e-7,7.20769460374988e-9,6.294114197469378e-9,9.008895729388704e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[1,0b110111,6,0b0100110100,10]",6.661177329720169e-7,6.64628490806337e-7,6.673346359782277e-7,4.287596111381225e-9,3.5793146114700647e-9,5.2852672415996085e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b010100,6,0b0100110100,10]",5.489070330924358e-7,5.474457723318534e-7,5.508887894151931e-7,5.726238717485041e-9,4.1511281866016376e-9,8.043063279602904e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0100110100,10]",6.268557916911334e-7,6.254879352635031e-7,6.28165075589498e-7,4.734525733233253e-9,3.6773191355796855e-9,6.760427729532979e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b100111,6,0b0100110100,10]",6.414243578348274e-7,6.403925977259286e-7,6.422122277904047e-7,2.9849543862057246e-9,2.3385950876369564e-9,4.252498918940599e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101110,6,0b0100110100,10]",6.401472887443712e-7,6.37699408141489e-7,6.426198436256207e-7,8.024705065116378e-9,6.657919831282573e-9,9.892959711930919e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b110101,6,0b0100110100,10]",6.462697581561904e-7,6.439321898155691e-7,6.483702566373145e-7,7.626794431469185e-9,6.154877826285667e-9,9.259690471298878e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0100110100,10]",5.654039832415929e-7,5.638471335955897e-7,5.668998946062573e-7,5.035481360119152e-9,3.842841309407317e-9,7.059855686162457e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b110110,6,0b0100110100,10]",6.398975343625039e-7,6.387415476081907e-7,6.412896719399192e-7,4.164917999045626e-9,3.295691878834912e-9,5.227500020125758e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b000101,6,0b0100110100,10]",2.7669585809670363e-7,2.758073411285629e-7,2.777237690801217e-7,3.1736617016532765e-9,2.577109920932486e-9,4.007485260892752e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b001111,6,0b0100110100,10]",5.201226860144264e-7,5.180747255383644e-7,5.214114976159619e-7,5.243557605708039e-9,4.048326501897514e-9,6.835059042546239e-9
