Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",1.5973254069362473e-6,1.5926727929013074e-6,1.6070219560087912e-6,2.1974187736199747e-8,1.1890997405000422e-8,3.744793021995937e-8
"Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",1.6421089342584574e-6,1.6385176156609207e-6,1.6467479544870496e-6,1.3590350548495383e-8,9.983594059926559e-9,1.959608559897853e-8
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",1.6406769759994362e-6,1.6373356661659975e-6,1.653332960389842e-6,1.8752195893036125e-8,6.809611156735165e-9,3.7628897547396064e-8
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",1.6301808987524971e-6,1.6266805944380487e-6,1.6362060712717756e-6,1.4402650809521659e-8,6.93043727785525e-9,2.4110484671889917e-8
"Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",1.562775336967831e-6,1.5600267746566653e-6,1.5698706148469886e-6,1.4301471712342023e-8,5.869304092567568e-9,2.7786799262492153e-8
"Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",1.5606292135632023e-6,1.5593130115993617e-6,1.5633478314085404e-6,6.335950392350151e-9,4.17799141664646e-9,1.1355274721148356e-8
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",1.674304238043199e-6,1.670747401422503e-6,1.6794187088911492e-6,1.4311818177147651e-8,1.0009042647653102e-8,1.964164295841061e-8
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",1.7157409175401307e-6,1.7092706131718572e-6,1.735669622637147e-6,3.407814067048592e-8,1.0390310576060472e-8,6.942238922653322e-8
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",1.643820953330605e-6,1.640181613947507e-6,1.650049795503092e-6,1.5224815536390542e-8,9.827415413914535e-9,2.346063251081053e-8
"Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",1.5638889224584856e-6,1.5614956920121522e-6,1.5672887079800601e-6,9.205565267491332e-9,7.115374521406474e-9,1.2606617663111787e-8
