Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",1.8573211359587907e-7,1.848838643101547e-7,1.8675125355355958e-7,3.0351618524151224e-9,2.6080145966957396e-9,3.551435956807253e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",1.981031547063041e-7,1.9604755539115075e-7,2.0029561227837188e-7,7.19230069681294e-9,6.295875414787425e-9,8.512406708903629e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",1.9338502198194762e-7,1.9253191301125569e-7,1.9425721744779684e-7,2.8223790416031664e-9,2.193282901049294e-9,3.686772002866948e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",1.912940026700546e-7,1.9022566409052958e-7,1.922678159887969e-7,3.4404227349315002e-9,2.8906202551472957e-9,4.768370542420297e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",1.8933153924394304e-7,1.8762691709104705e-7,1.91362886761176e-7,6.034296240086521e-9,4.829117488216791e-9,7.109930793143731e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",1.9020264428562928e-7,1.882853729555824e-7,1.9234869584257967e-7,6.925302805358646e-9,5.876518074024696e-9,8.025661438329893e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",1.916972287622199e-7,1.9018976168245544e-7,1.9392567353982857e-7,6.0735224587279775e-9,4.422767468011384e-9,7.757791582010253e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",2.026937149096912e-7,2.01147388177076e-7,2.045900634814246e-7,5.932514812182894e-9,4.233975348808319e-9,7.965660964488618e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",1.9641018823339576e-7,1.9547608691639895e-7,1.9752987188400832e-7,3.599061744688418e-9,2.8211847115298503e-9,4.586365278704205e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",1.8984228870486725e-7,1.8856500404901222e-7,1.9125717372611502e-7,4.421792287387494e-9,3.6979151155078155e-9,5.729622423166443e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",1.8745709309567444e-7,1.8678449320833763e-7,1.8840612323385166e-7,2.6053030452880556e-9,1.8911844058275038e-9,3.903890533966091e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",1.9899548259250817e-7,1.9840720786242046e-7,1.998174438328461e-7,2.2341927999660614e-9,1.8305564040953735e-9,3.2036002662976957e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",1.9508252760984938e-7,1.939333826695457e-7,1.9637178157575956e-7,4.168537653851771e-9,3.1718298533410137e-9,5.6701529813676e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",1.1569439390410278e-7,1.1453364689970734e-7,1.169283536077053e-7,4.193530008515369e-9,3.606404800413251e-9,4.753236071320357e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",2.0678409426421465e-7,2.0519512269044278e-7,2.0844092793202694e-7,5.5462000578252135e-9,4.801838280182537e-9,6.247140373846838e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",2.0647075248970646e-7,2.0458184707514146e-7,2.0886971854310712e-7,7.106416737161485e-9,5.9616595209323295e-9,8.186634267362697e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",2.074772121237203e-7,2.0521985249028692e-7,2.0982887899911758e-7,8.014383275378196e-9,6.944112157987892e-9,9.132908172681338e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",1.9907595248237728e-7,1.9743668855266616e-7,2.014760236109962e-7,6.748514558246961e-9,5.13532133390931e-9,8.270850178432344e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0001100011,10]",2.0760727394893456e-7,2.063960418844731e-7,2.0912175729930537e-7,4.478837506331693e-9,3.44640243528306e-9,5.657336022562454e-9
