Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",5.146863996629054e-7,5.136064310917282e-7,5.171262181205775e-7,4.996830676119022e-9,1.9382182522959645e-9,8.116085699114906e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",5.301590004431294e-7,5.290642471065118e-7,5.320189386524014e-7,4.6776795949851855e-9,3.230327364901829e-9,7.605315366235706e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",5.328601189479623e-7,5.318896595636504e-7,5.343575359713375e-7,3.8439397219813985e-9,2.69775806429143e-9,5.1287729461508345e-9
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",5.382504210824442e-7,5.354978538838635e-7,5.428412291807822e-7,1.247385661678633e-8,9.50337387663527e-9,1.6793076085829198e-8
"Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",5.227014598053907e-7,5.158367137942967e-7,5.555283144185616e-7,4.256766931683919e-8,3.6020176196911937e-9,9.732239339978792e-8
"Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",5.131558946863971e-7,5.126454763872832e-7,5.137804368561833e-7,1.9072580761870378e-9,1.5474653089872669e-9,2.503895863174967e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",5.475278315714423e-7,5.462213703670713e-7,5.501479062058262e-7,6.438455522763166e-9,4.342985755154868e-9,1.0884593263176517e-8
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",5.64243849554048e-7,5.630174692659942e-7,5.658111442159407e-7,4.517794701457811e-9,3.797811377120706e-9,5.576359629959497e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",5.237653693166333e-7,5.22640369706434e-7,5.263397509462145e-7,5.384535203899414e-9,3.059132921994201e-9,1.0686392892474198e-8
"Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",5.130433311604289e-7,5.124507175380428e-7,5.137799799456126e-7,2.2915282836422376e-9,1.7638608371126992e-9,3.110090454338601e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",5.06045319035509e-7,5.052694212426086e-7,5.074706476261318e-7,3.2989393326488316e-9,2.2606884093898275e-9,5.043322913426404e-9
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",5.177807670810338e-7,5.172098368717533e-7,5.188826649815146e-7,2.565423024675059e-9,1.6828398246277606e-9,4.213220209869632e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",5.224645997949533e-7,5.218555060099104e-7,5.232776917956052e-7,2.346625248707555e-9,1.6502537015918916e-9,3.538906114047988e-9
"Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",3.0897896417946707e-7,3.085293726777249e-7,3.0955586652871756e-7,1.7953822115181887e-9,1.4882779377237262e-9,2.3101361927776152e-9
