Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",4.4426331560357684e-8,4.4420332907147163e-8,4.443204879192814e-8,1.945848337534214e-11,1.3650606721107446e-11,2.8736805678648426e-11
"Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",4.457463026283178e-8,4.456683882940988e-8,4.458245305818459e-8,2.5177883843110276e-11,1.9728193149371005e-11,3.563594984296693e-11
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",4.461324799341106e-8,4.460395899733468e-8,4.4622116050883094e-8,2.8769062462799303e-11,2.416139881791418e-11,3.526525867207172e-11
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",4.428869709948166e-8,4.4280607528746164e-8,4.429773475246266e-8,2.8079503190035323e-11,1.9924871527561482e-11,4.0332935950092426e-11
"Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",4.427192097753245e-8,4.42658555275294e-8,4.42781992468539e-8,2.0560005166238188e-11,1.743162148252703e-11,2.4410184460905153e-11
"Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",4.38457238568963e-8,4.380317841083741e-8,4.391814642176469e-8,1.7281819486508294e-10,1.177056060604962e-10,2.217941619334416e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",4.518690328301245e-8,4.508130531555547e-8,4.52947997388786e-8,3.55674943050872e-10,3.237156645293529e-10,4.528322953900928e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",4.478445494654652e-8,4.4774405780223403e-8,4.4820562582432964e-8,5.6791516137776535e-11,1.4413562539496352e-11,1.165044137422624e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",4.430695745613107e-8,4.4295720870743886e-8,4.4332843367432725e-8,5.368231231778251e-11,2.3076423440186246e-11,1.0372510516603134e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",4.439895083803392e-8,4.4282950512332945e-8,4.448686471143314e-8,3.5062494951808096e-10,2.7288937449742107e-10,3.9986301003329497e-10
