Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",1.1736675658799044e-7,1.1698311185267279e-7,1.1769000585053684e-7,1.2327429196151608e-9,9.91319172902776e-10,1.5749966846563293e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",1.1494069096452201e-7,1.144554210446829e-7,1.1547956466945214e-7,1.73543132020159e-9,1.386447667028886e-9,2.1796546392107564e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",1.1506496911943366e-7,1.1476413207664016e-7,1.1541523539168023e-7,1.0862846385155635e-9,9.213164142361058e-10,1.2997693169270935e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",1.170466523812923e-7,1.1670410014876391e-7,1.1751107111754171e-7,1.2799140472250144e-9,9.154693519330046e-10,2.125099873368042e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",1.126221472042264e-7,1.123052470492862e-7,1.1298478729016506e-7,1.1131704431848829e-9,9.331204749081589e-10,1.390501374261916e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",1.1294326250072918e-7,1.1266034302003195e-7,1.132515124920603e-7,1.045909619804133e-9,8.806319557148693e-10,1.335301023147839e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",1.2087734594927796e-7,1.2063346259666385e-7,1.2121733881728033e-7,9.641293701690395e-10,7.426006805986695e-10,1.377848910301602e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",1.2120820228700968e-7,1.2085627623145692e-7,1.216423488347865e-7,1.3177955116182215e-9,9.398451839226183e-10,1.905244193689597e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",1.1732627807055806e-7,1.1704062818207032e-7,1.1769880951738528e-7,1.0466110617058635e-9,8.169695453208463e-10,1.3028827216644413e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",1.1277054005815005e-7,1.1243060232980448e-7,1.1312850634567525e-7,1.181192210017e-9,9.835039716678272e-10,1.4247382716908626e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",1.1747090452406397e-7,1.1718087254962456e-7,1.1781381960086401e-7,1.0633285916624573e-9,9.155239303105197e-10,1.2629005063840774e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",1.1713155345069061e-7,1.1684605145918924e-7,1.1779955328533979e-7,1.3048589328325238e-9,7.804055239638708e-10,2.3999919923264815e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",1.167606011204487e-7,1.1647513072978304e-7,1.1705240156406998e-7,9.482164068695604e-10,7.839113846939209e-10,1.1955498289984625e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",6.680222801404637e-8,6.660339504183355e-8,6.69876578360591e-8,6.623321437734628e-10,5.656528124108882e-10,7.929911787229588e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",1.2249256137241265e-7,1.2207319710241003e-7,1.230526287444665e-7,1.626719415141495e-9,1.2086605534874264e-9,2.2125904902687034e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",1.1953042912763525e-7,1.192146144364116e-7,1.200739420346907e-7,1.3270942449382942e-9,9.02471206281821e-10,1.8859289200397763e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",1.2104605905631923e-7,1.2081476227181287e-7,1.2132456397646259e-7,8.867302626739222e-10,6.950157120450899e-10,1.1660073946474596e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",1.1739981152181753e-7,1.170902590793194e-7,1.1767785692814163e-7,1.039974431415697e-9,8.909538476536257e-10,1.229749092554016e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0001100011,10]",1.219009016915347e-7,1.2169384148632154e-7,1.2209628460624605e-7,6.767182032586506e-10,5.730611295497227e-10,8.75117925739393e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101110,6,0b0001100011,10]",1.2124867182998675e-7,1.2089561823091e-7,1.217820097247473e-7,1.4454927169223712e-9,1.0681008216645796e-9,2.060786234705797e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000100,6,0b0001100011,10]",8.00902846485976e-8,7.984444612262112e-8,8.044955775988986e-8,9.909561562019147e-10,7.724453646848636e-10,1.2609072492577546e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101001,6,0b0001100011,10]",1.171849155027462e-7,1.1678765579274317e-7,1.1813999156577218e-7,1.9767220858733305e-9,9.834491449308698e-10,3.6087368739286596e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011101,6,0b0001100011,10]",1.2122497991700311e-7,1.2094929597421218e-7,1.215522481122396e-7,9.91409661671797e-10,7.911552944947425e-10,1.2430375112868188e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111100,6,0b0001100011,10]",1.1763493361780109e-7,1.1728714988062627e-7,1.180743400184544e-7,1.290136511077174e-9,9.983431738350518e-10,1.616084051321073e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[1,0b011111,6,0b0001100011,10]",1.2889560860331618e-7,1.2849546668896502e-7,1.2956815675203928e-7,1.6580191275976209e-9,1.0160779228325591e-9,2.8680896557118985e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101100,6,0b0001100011,10]",1.1867978480935639e-7,1.1826126651220558e-7,1.1919575976010188e-7,1.606252524815489e-9,1.362552784820401e-9,1.947454565303644e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b110110,6,0b0001100011,10]",1.196811015113125e-7,1.1937842777505054e-7,1.1996180948666082e-7,9.735241209476217e-10,7.557291765906229e-10,1.280443317930237e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110010,6,0b0001100011,10]",1.1514647590017441e-7,1.1487837205610624e-7,1.1541282844808825e-7,9.22954012483746e-10,7.771295914190528e-10,1.1478964731133934e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b010110,6,0b0001100011,10]",1.2002674337147163e-7,1.1982945547604532e-7,1.2031655051502786e-7,8.234174247500475e-10,6.656039599817898e-10,1.1085357876028463e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001011,6,0b0001100011,10]",1.20894127660203e-7,1.2064076848932626e-7,1.2115760176548285e-7,8.813653960939918e-10,7.076023473713662e-10,1.117646795209346e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0100110100,10]",1.379322147062189e-7,1.376093252425316e-7,1.382498757465817e-7,1.1024746412127363e-9,9.191624046484733e-10,1.316597715500805e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0100110100,10]",1.1909939417396617e-7,1.188466857377287e-7,1.1933132546529255e-7,8.338847295496784e-10,7.274994970691748e-10,9.784161991539382e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100101,6,0b0100110100,10]",1.4878328714142295e-7,1.4834676401903727e-7,1.4970475037675218e-7,1.9233678309202163e-9,1.1783613747255209e-9,3.202991303865107e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[1,0b101111,6,0b0100110100,10]",1.5662758628555492e-7,1.561779325085856e-7,1.5713105366895866e-7,1.5802832862976651e-9,1.2898922478725577e-9,2.019020639520109e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0100110100,10]",1.5281223905415868e-7,1.5252573241318975e-7,1.5320174980437111e-7,1.156914290413992e-9,9.086270869613554e-10,1.521766043731257e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b100001,6,0b0100110100,10]",1.4252174029260136e-7,1.422124086742199e-7,1.4293035488876127e-7,1.1869107143791046e-9,9.143164443348471e-10,1.6334439908579516e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0100110100,10]",1.16249043272994e-7,1.1588626067877622e-7,1.16966047463103e-7,1.6400672506515934e-9,1.0876654113640256e-9,2.7444596860653817e-9
