Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",4.275112157828686e-8,4.2740364633179437e-8,4.275693312889177e-8,2.611480487876702e-11,1.659683770044063e-11,4.598511763490415e-11
"Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",4.2745314074354436e-8,4.2705095257965305e-8,4.2756492066022487e-8,6.597836078712347e-11,1.3362723172455753e-11,1.3729629556065335e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",4.392409164554579e-8,4.3920798155998285e-8,4.392794808591893e-8,1.2106494226325509e-11,9.598098495902078e-12,1.626925764482705e-11
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",4.34825346085088e-8,4.348030955680144e-8,4.348593614719209e-8,9.137620420415365e-12,6.900919225844623e-12,1.4250909098181315e-11
"Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",4.277608898027105e-8,4.273183731267485e-8,4.282630683953716e-8,1.5866694023407603e-10,9.718205150221791e-11,2.5428698467138494e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",4.289776770390727e-8,4.281267301200138e-8,4.302453242480256e-8,3.4048846448363753e-10,2.4064358607663663e-10,4.3312074540106887e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",4.3032491121047155e-8,4.29367546521578e-8,4.314318736925046e-8,3.402329232397348e-10,3.145936300308181e-10,3.7714179729113146e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",4.337470990628497e-8,4.332632077919693e-8,4.342062735646083e-8,1.572582176576853e-10,1.3405247019806073e-10,1.7151084181531243e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",4.287420683286321e-8,4.277507809734313e-8,4.298674531795001e-8,3.6546943344379435e-10,3.1674538876827653e-10,4.2360246367041e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",4.277841414336424e-8,4.2728976255696957e-8,4.283558384835582e-8,1.8094413740140754e-10,1.4015454728024845e-10,2.2571676299594265e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",4.302937796858083e-8,4.3003853530937485e-8,4.30557810110717e-8,8.964450995770976e-11,7.338009722669099e-11,1.1352242423168258e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",4.28998655277023e-8,4.2873353639907775e-8,4.2923767260088974e-8,8.775846036886507e-11,6.743142721166258e-11,1.145711601667726e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",4.2073515812164126e-8,4.2040499707936705e-8,4.210717858651242e-8,1.1164094948209178e-10,8.368212028160383e-11,1.4923606895090592e-10
"Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",4.2388085576268396e-8,4.229761322239709e-8,4.247057510944747e-8,2.742918413707008e-10,2.4316853530154785e-10,3.1847800929316046e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",4.263294669476855e-8,4.261110229039228e-8,4.26558395986858e-8,7.788788240133252e-11,6.17780919063019e-11,9.669226615665977e-11
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",4.216355590927478e-8,4.207041077969276e-8,4.222200279399377e-8,2.363037045027269e-10,1.8642285282125888e-10,3.013501576329363e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",4.207672639897649e-8,4.1988810750432756e-8,4.2155078481291566e-8,2.7503781902114214e-10,1.9968367788252732e-10,4.174731249298262e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",4.3309949821698115e-8,4.326397653970403e-8,4.334785590240712e-8,1.4105340628680136e-10,1.1034978379803321e-10,2.246491660195701e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0001100011,10]",4.164828697698461e-8,4.160880650333876e-8,4.1674395679339664e-8,1.011580366618575e-10,7.308988835507506e-11,1.3952449679567295e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b101110,6,0b0001100011,10]",4.223566695535003e-8,4.2067641706843057e-8,4.236312444556528e-8,4.6238449675506465e-10,3.8579020345223925e-10,5.779885114817483e-10
"Data.DeBruijn.Thinning/thin/samples1/[5,0b000100,6,0b0001100011,10]",4.146900477877017e-8,4.143576771941146e-8,4.1491172107836644e-8,9.06394191283977e-11,6.933130755627052e-11,1.2501282752307932e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b101001,6,0b0001100011,10]",4.2186392090666675e-8,4.215779656862774e-8,4.221167391079523e-8,9.04919305889023e-11,7.136276055805567e-11,1.1974093486836935e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011101,6,0b0001100011,10]",4.1712536247314604e-8,4.1618855732413846e-8,4.182421432413827e-8,3.4479234818734983e-10,2.890694060051111e-10,4.281111333491985e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111100,6,0b0001100011,10]",4.265630627817317e-8,4.26334637443923e-8,4.267704095719586e-8,7.645114964224176e-11,6.136332469712024e-11,9.81621667660238e-11
"Data.DeBruijn.Thinning/thin/samples1/[1,0b011111,6,0b0001100011,10]",4.305648399866147e-8,4.303443974859787e-8,4.30802687614735e-8,7.797286445069488e-11,6.525449972546662e-11,9.804185271631811e-11
"Data.DeBruijn.Thinning/thin/samples1/[3,0b101100,6,0b0001100011,10]",4.149218984463466e-8,4.1461161531892193e-8,4.151642688817789e-8,9.069478670171135e-11,7.174526750971526e-11,1.2468070431938648e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b110110,6,0b0001100011,10]",4.201653286034799e-8,4.185839277070136e-8,4.212270417641747e-8,4.1451100403443923e-10,3.454403908849069e-10,4.896940273500083e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110010,6,0b0001100011,10]",4.187169168373358e-8,4.170098622656947e-8,4.2068993121243845e-8,6.084178565245566e-10,4.764634283674057e-10,6.934797966313356e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b010110,6,0b0001100011,10]",4.2233237788053326e-8,4.221007984715244e-8,4.225751576398731e-8,7.780961072863105e-11,5.8050501491259904e-11,1.1382044403484434e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001011,6,0b0001100011,10]",4.192093347612163e-8,4.178975886648763e-8,4.204546585694528e-8,4.3834280121114743e-10,3.672153372268812e-10,5.03451044082549e-10
