Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",6.800461068846788e-8,6.786525647886852e-8,6.836344784031252e-8,6.812663861260945e-10,3.7109692782958205e-10,1.2149692629998106e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",6.798065884004545e-8,6.786247585187811e-8,6.817051869428003e-8,4.996577171114179e-10,3.1735605185018286e-10,7.815137756630248e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",6.790382887029085e-8,6.782197572430801e-8,6.805413098396442e-8,3.6452582286215754e-10,2.242783498378809e-10,5.835402699801771e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",6.783128188323948e-8,6.775884725246976e-8,6.794634573960537e-8,2.8783074117251194e-10,1.7234944192194608e-10,4.4671021651688673e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",6.800521123020784e-8,6.788189748943063e-8,6.834273452163003e-8,6.181685410131613e-10,3.2924934624465004e-10,1.097540379464604e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",6.791729277985494e-8,6.783151781615639e-8,6.811072535478547e-8,3.766529799225457e-10,2.4493873043062295e-10,6.455482913792826e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",6.79858236929957e-8,6.789398273883194e-8,6.809553956931648e-8,3.4779550142463176e-10,2.805351855651184e-10,4.596175261181074e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",6.793084360733684e-8,6.784442067920991e-8,6.807894775628114e-8,3.6159447262535804e-10,2.435241839995488e-10,6.317793670234429e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",6.796383024777812e-8,6.786263419912306e-8,6.814052980841762e-8,4.14882915659383e-10,2.8148972438733156e-10,5.791218839188387e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",6.790468384044724e-8,6.782728705359605e-8,6.804668406952157e-8,3.27324615152435e-10,2.159485954139193e-10,5.205717763385957e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",6.806764049941998e-8,6.7938642983426e-8,6.828799688532542e-8,5.58531838311219e-10,3.54171970138033e-10,8.393224092483124e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",6.812648158484848e-8,6.793709635783936e-8,6.855650744314122e-8,9.192606952111273e-10,3.746341131098349e-10,1.6550242476151749e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",6.793738953738924e-8,6.785512961386223e-8,6.80806291717206e-8,3.6256952458348305e-10,2.4770438714462536e-10,5.317634754985122e-10
"Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",6.790235517469513e-8,6.781991252122043e-8,6.805324350992002e-8,3.7161503085918696e-10,2.2900795999926829e-10,5.63596011154156e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",6.791280570140662e-8,6.784203409171467e-8,6.801472441846543e-8,2.65872420591269e-10,1.8648156787573755e-10,4.229709387380572e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",6.776060518842771e-8,6.766281359360982e-8,6.78251662627114e-8,2.703740612604627e-10,1.650025409547217e-10,4.0397466750943835e-10
