Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",4.027103764548275e-8,3.974676206709508e-8,4.094924093282591e-8,1.9790311557559813e-9,1.5091091954646435e-9,2.259441262188099e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",4.1010159129154276e-8,4.042506134428974e-8,4.165615429592299e-8,2.0243789302627076e-9,1.7921363725588672e-9,2.1856927819420663e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",3.9465428047182263e-8,3.945121751744494e-8,3.95064343106288e-8,7.423227529932208e-11,2.9042444873518695e-11,1.433456192846606e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",4.0727319897481115e-8,4.018218124410979e-8,4.138838411014872e-8,1.99948739120779e-9,1.7323251531496284e-9,2.189150108138057e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",4.377229574506009e-8,4.376875425118977e-8,4.377787658541117e-8,1.5220592778365837e-11,9.957312646023467e-12,2.5147174764755404e-11
"Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",3.982294555300484e-8,3.9819956872046546e-8,3.9827898495607836e-8,1.3217584944602781e-11,9.229903255432921e-12,2.2658665297533778e-11
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",3.936316345087875e-8,3.9254532827388585e-8,3.945888509513438e-8,3.3154319711008614e-10,2.896813282621912e-10,3.6670302836517496e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",3.9217422852273324e-8,3.9151397315193416e-8,3.928783415469234e-8,2.23001130815985e-10,2.1538252690124875e-10,2.286714201679395e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",4.295829014378286e-8,4.240513870275745e-8,4.333293109403656e-8,1.6043573903442676e-9,1.2321755946516127e-9,1.890460895603694e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",4.212155650545672e-8,4.138869759330024e-8,4.266037755452058e-8,2.127243609130318e-9,1.890827241902952e-9,2.2594073828836758e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",4.195472428670234e-8,4.130175516042607e-8,4.256637975911489e-8,2.1549310360791364e-9,2.004058366395951e-9,2.230132133519899e-9
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",4.308134572523167e-8,4.254022789757373e-8,4.345606554322284e-8,1.616445682804804e-9,1.1743160852083626e-9,2.0461242701153306e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",4.173559223217401e-8,4.1097272734560704e-8,4.244749931978543e-8,2.2563057844885193e-9,2.1880041828293646e-9,2.3099601426382954e-9
"Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",3.9327123045232984e-8,3.9234819733167405e-8,3.9429560155426604e-8,3.2002433048239374e-10,2.6632737875848934e-10,3.5618320465951117e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",3.98137220445777e-8,3.9810335735561315e-8,3.981745120940904e-8,1.2761984538025853e-11,1.026677239258286e-11,1.5953702174684634e-11
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",4.243538525629348e-8,4.1809430574240096e-8,4.296600175585844e-8,1.995039140572321e-9,1.673490200459351e-9,2.163505950565387e-9
"Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",3.962458297898073e-8,3.952103723155039e-8,3.970913687243287e-8,3.1165559950652486e-10,2.4561856238210844e-10,3.533373187196415e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",4.377408106369709e-8,4.3770834590198034e-8,4.3777265322154037e-8,1.1378899559326172e-11,9.224542967600318e-12,1.4361824040765754e-11
"Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0001100011,10]",3.927235121876343e-8,3.919952741940905e-8,3.933088484259819e-8,2.1379660864207898e-10,1.9370552211586343e-10,2.2429146006317866e-10
