Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",1.2524023422468389e-8,1.223456909761065e-8,1.2876999996818015e-8,1.0455830498446951e-9,8.907115312320914e-10,1.155236397419339e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",1.1883407613407869e-8,1.1736878897098228e-8,1.2143878646762365e-8,6.276530860075245e-10,3.69924962366226e-10,9.573991332663525e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",1.1822181688115066e-8,1.1709920314399715e-8,1.2100346331399709e-8,5.617757586387611e-10,2.739687515649125e-10,9.185921427117731e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",1.1580698306674703e-8,1.1559909323182545e-8,1.1604521751696805e-8,7.661769764223936e-11,5.4766010332922037e-11,1.191464773648896e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",1.2104775194003812e-8,1.1771081959935062e-8,1.2471389954458567e-8,1.1698266625600575e-9,9.49918296357112e-10,1.3359067614332085e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",1.1900819851566404e-8,1.1653546358371718e-8,1.2288389286890713e-8,9.911253091508702e-10,7.270771248996222e-10,1.23958630081296e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",1.2199385657060574e-8,1.20336129705256e-8,1.2481622853788592e-8,6.932053294501727e-10,4.0951752148693983e-10,9.71054945288122e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",1.1972129649160366e-8,1.1860882314995688e-8,1.2194153296196022e-8,5.600507203083443e-10,3.185773034839645e-10,8.306566493401974e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",1.1617473211468346e-8,1.1579381701741599e-8,1.172120751076185e-8,1.9752208323223424e-10,1.0952307843687918e-10,3.609258155759477e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",1.170368757351144e-8,1.149254814191842e-8,1.2019819241232321e-8,8.795414926008596e-10,5.865564822984482e-10,1.1458970821360899e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",1.2055771620925552e-8,1.1854622515427826e-8,1.2378625904882474e-8,8.707103648169931e-10,5.92094738722411e-10,1.1460333152296613e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",1.2265320949987883e-8,1.1974856446167013e-8,1.2605041410307537e-8,1.0599163129371683e-9,8.326219020181277e-10,1.2154559448893386e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",1.1962834805330203e-8,1.1759095393128227e-8,1.224870001990083e-8,7.97558134468524e-10,5.454260166923387e-10,1.0244097404718853e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",1.0220961052818073e-8,1.0143064839655453e-8,1.0309235609084311e-8,2.789213025416523e-10,2.5175899074702636e-10,3.1302307134921647e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",1.4216984839466176e-8,1.4183729104064973e-8,1.4245412607527218e-8,1.0128168811763905e-10,8.567848832402209e-11,1.18840912105431e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",1.2416303809545406e-8,1.236462938782958e-8,1.2457316552472518e-8,1.54209007086758e-10,1.0945525181667704e-10,2.197468893634143e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",1.2733576768216395e-8,1.2408303567547992e-8,1.3138458559612932e-8,1.1516562024788975e-9,9.665834067041531e-10,1.2712947040218013e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",1.1923083936640121e-8,1.1728549640085034e-8,1.2224116711783772e-8,8.13822545162824e-10,5.511253686187901e-10,1.041175821189949e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0001100011,10]",1.1983813026221283e-8,1.1845842834573868e-8,1.2229461521681188e-8,6.264864297185885e-10,3.6939578270254646e-10,9.103196126388425e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101110,6,0b0001100011,10]",1.2502629377147194e-8,1.2409397825507153e-8,1.275610352993278e-8,4.482666172814764e-10,1.513958111807857e-10,7.809051612446606e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000100,6,0b0001100011,10]",1.0840816026214472e-8,1.0798333862635149e-8,1.0901380003903596e-8,1.6807974498828097e-10,1.2193707296143816e-10,2.4173994162216924e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101001,6,0b0001100011,10]",1.236971737624441e-8,1.2072318766438051e-8,1.272266006526386e-8,1.1002291434986482e-9,9.069001957222437e-10,1.248343788290125e-9
