Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",6.338132459709291e-8,6.328745250145898e-8,6.359563976911536e-8,4.631750895267642e-10,2.6309414560162953e-10,8.248188764723516e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",6.32733415509969e-8,6.322356693949251e-8,6.33968872050577e-8,2.41884435233702e-10,1.1394066933939646e-10,4.5029204848462056e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",6.337932304751439e-8,6.328335627283571e-8,6.358373140132964e-8,4.456477413877938e-10,2.52978057288174e-10,7.202216817197259e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",6.325301510974779e-8,6.320846616418518e-8,6.331747434533628e-8,1.8233374363569094e-10,1.2849208028775186e-10,2.5896658344044667e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",6.335015726697668e-8,6.3260882042964e-8,6.353226577929092e-8,4.2627172021505556e-10,2.2395058611103282e-10,8.308670340593614e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",6.32983316035797e-8,6.323905894685293e-8,6.338780990085192e-8,2.378895368666714e-10,1.5087868350284423e-10,3.909434759309337e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",6.335204735403187e-8,6.325440093597157e-8,6.353704636927814e-8,4.5448406741861157e-10,2.8097156992882713e-10,6.525524501914864e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",6.335442750705923e-8,6.326635881307634e-8,6.36102520598362e-8,4.3671039931138585e-10,2.2448157809015775e-10,8.76999931633588e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",6.344631510132645e-8,6.332946119166975e-8,6.378799227063268e-8,6.327376420631692e-10,2.9363392418885145e-10,1.1930947640151481e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",6.324035130467447e-8,6.31520181970639e-8,6.335611405680211e-8,3.1170293896063385e-10,2.2396733978121845e-10,4.288495423634294e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",6.333205697704704e-8,6.325669498032504e-8,6.351459381196976e-8,3.72081590945675e-10,1.670481095885289e-10,6.775658321039907e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",6.364734655770468e-8,6.340987836895214e-8,6.412125729171461e-8,1.0615116972874152e-9,5.90064497987717e-10,1.8556255116741108e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",6.332306722454832e-8,6.325763851104591e-8,6.351102161644661e-8,3.3596520173048407e-10,1.3564608755661277e-10,6.594257062175293e-10
"Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",6.327708192301459e-8,6.322939285227008e-8,6.334478951285971e-8,2.007469850383739e-10,1.4459485698864327e-10,2.6221122453722713e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",6.333268527417008e-8,6.325243520016905e-8,6.347141251117663e-8,3.563981947631244e-10,2.0628293914516488e-10,5.385160726859953e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",6.329748475459531e-8,6.324880158045362e-8,6.337069157514443e-8,1.9280913415695027e-10,1.380458488043003e-10,2.6077146686354226e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",6.329109018233449e-8,6.323410767114511e-8,6.338525889971689e-8,2.4146490640639057e-10,1.4845581055465107e-10,3.928263330299199e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",6.330579448493852e-8,6.325221985279774e-8,6.341833196389646e-8,2.7236655680655876e-10,1.6835457553225082e-10,4.6676541541985e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b010011,6,0b0001100011,10]",6.329647935292573e-8,6.324244443843602e-8,6.338373925921122e-8,2.301548991689823e-10,1.5386941776213542e-10,3.532545480414384e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b101110,6,0b0001100011,10]",6.325604934037213e-8,6.322036461322139e-8,6.332775709358068e-8,1.652621525477887e-10,1.0382826248118558e-10,2.568389163952952e-10
"Data.DeBruijn.Thinning/thin/samples1/[5,0b000100,6,0b0001100011,10]",6.341389857609869e-8,6.333163068215572e-8,6.353941906460954e-8,3.4829840926956403e-10,2.7276844743522224e-10,4.3330135363076243e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b101001,6,0b0001100011,10]",6.333447347023502e-8,6.326992870388466e-8,6.345111877162721e-8,2.986639454598179e-10,2.12408864132449e-10,4.062119471516114e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011101,6,0b0001100011,10]",6.331475156757227e-8,6.325010172438804e-8,6.345371891920204e-8,2.973699317390157e-10,1.7604852284852093e-10,4.590455670388916e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111100,6,0b0001100011,10]",6.335427271989379e-8,6.327392306497672e-8,6.351525211018855e-8,3.6332185855114777e-10,2.2082777065106468e-10,6.57396327366798e-10
