Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/[4,0b001001,6,0b0001100011,10]",2.7954089482090064e-7,2.7932125331874335e-7,2.7982750472564427e-7,8.603905364443776e-10,6.514296733575622e-10,1.3597230174031818e-9
"Bench.Data.DeBruijn.Thinning/thin/[4,0b100100,6,0b0001100011,10]",2.91742055425281e-7,2.9156653152485563e-7,2.919059552205817e-7,5.754015835294004e-10,4.763135210904928e-10,6.963828837099518e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b110100,6,0b0001100011,10]",2.9406050808225396e-7,2.9385905526883605e-7,2.943203831224589e-7,7.536446710742461e-10,5.745296492895715e-10,1.1169943226514666e-9
"Bench.Data.DeBruijn.Thinning/thin/[2,0b111001,6,0b0001100011,10]",2.937794358877883e-7,2.935620566375393e-7,2.939735608738807e-7,6.612348247868755e-10,5.4076579944117e-10,8.595229088187531e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b111000,6,0b0001100011,10]",2.8870999702505617e-7,2.8862506193002115e-7,2.8879521987497917e-7,2.8594887182791557e-10,2.435843015216622e-10,3.5721879777573435e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b011000,6,0b0001100011,10]",2.891791869654326e-7,2.890106710125838e-7,2.892850266507804e-7,4.461381300806709e-10,2.7928198679814423e-10,6.855899842830214e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b001101,6,0b0001100011,10]",2.9245599728102875e-7,2.9241529597264825e-7,2.925111076235343e-7,1.560627195821943e-10,1.0670870274858249e-10,2.598346256145154e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b011011,6,0b0001100011,10]",3.052333798187211e-7,3.0519865270978157e-7,3.052767796351764e-7,1.2844591017965405e-10,1.0675546245136442e-10,1.6632592322269505e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b110001,6,0b0001100011,10]",2.887768381086968e-7,2.8868315848175606e-7,2.88873089593536e-7,3.225336513429463e-10,2.768472726083943e-10,4.2177932600051766e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b101000,6,0b0001100011,10]",2.8938869992870923e-7,2.892394306061313e-7,2.895054564664514e-7,4.4877118982569264e-10,3.7499348358111515e-10,6.031090725380196e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b001100,6,0b0001100011,10]",2.7858281981782694e-7,2.7853315978158315e-7,2.78622018941442e-7,1.4926574995780496e-10,1.0784203106219938e-10,2.1072265466880227e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b111010,6,0b0001100011,10]",2.937626532717956e-7,2.9363468225484776e-7,2.9391926176710326e-7,4.704230667384137e-10,4.1256217042371874e-10,5.802004296420221e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b101010,6,0b0001100011,10]",2.935261783275296e-7,2.933101278709057e-7,2.938063238470559e-7,8.119461987610876e-10,3.582626297477876e-10,1.3497000762736228e-9
"Bench.Data.DeBruijn.Thinning/thin/[5,0b000010,6,0b0001100011,10]",1.6728369685754459e-7,1.6724917541826325e-7,1.673201817502813e-7,1.1976300737369745e-10,9.638473899801064e-11,1.4704164259489475e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b100011,6,0b0001100011,10]",3.0080123305698125e-7,3.0075130096327794e-7,3.008542970439119e-7,1.705522966960452e-10,1.4532209466684693e-10,2.0379540165155436e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b100110,6,0b0001100011,10]",3.0476359350834396e-7,3.0449146323600827e-7,3.04846965566776e-7,4.5019313955878264e-10,1.5550827955666945e-10,9.600603260809197e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b101101,6,0b0001100011,10]",3.0522031818898027e-7,3.0518738841596777e-7,3.052510386451317e-7,1.0392173630564791e-10,8.506572245157283e-11,1.306097089094814e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b011001,6,0b0001100011,10]",2.945043864221551e-7,2.9416067459698103e-7,2.9467756007918893e-7,7.555964057099239e-10,4.0518588137009675e-10,1.3393066818834966e-9
"Bench.Data.DeBruijn.Thinning/thin/[3,0b010011,6,0b0001100011,10]",3.0042726884492467e-7,3.0038819207848757e-7,3.004642015774465e-7,1.2992284193190287e-10,1.0654789278358757e-10,1.6797383486154955e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b101110,6,0b0001100011,10]",3.0202793360745103e-7,3.019389640193104e-7,3.0212768609814517e-7,3.118307152281336e-10,2.4725991669499e-10,4.277345572994826e-10
"Bench.Data.DeBruijn.Thinning/thin/[5,0b000100,6,0b0001100011,10]",2.0333308970047445e-7,2.0327798851099728e-7,2.0338158609353903e-7,1.7527220090302644e-10,1.4509084002467912e-10,2.1217009464557416e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b101001,6,0b0001100011,10]",2.946508904047527e-7,2.9460230483977996e-7,2.9474085796729785e-7,2.0388175846532706e-10,1.2709482592307862e-10,3.144006965310664e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b011101,6,0b0001100011,10]",3.053727589703476e-7,3.05135856209373e-7,3.054484497859879e-7,4.198482551717908e-10,1.3929369143020752e-10,9.194676621288949e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b111100,6,0b0001100011,10]",2.9367947221718725e-7,2.936180374916558e-7,2.937386379721895e-7,1.9503346933589476e-10,1.6286612164839023e-10,2.3685106546339816e-10
"Bench.Data.DeBruijn.Thinning/thin/[1,0b011111,6,0b0001100011,10]",3.262175166614552e-7,3.259046669765612e-7,3.272396744475764e-7,1.6946274399227427e-9,6.506866788009151e-10,3.6622997149964073e-9
"Bench.Data.DeBruijn.Thinning/thin/[3,0b101100,6,0b0001100011,10]",2.934458015084905e-7,2.9339348540135195e-7,2.935716829980009e-7,2.525788781763203e-10,1.2832622942451488e-10,4.889838445743759e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b110110,6,0b0001100011,10]",3.048294338801584e-7,3.0476091551157415e-7,3.049024579844756e-7,2.535327482679403e-10,2.14733599789241e-10,3.068627450539029e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b110010,6,0b0001100011,10]",2.973878551757689e-7,2.9722151272264906e-7,2.9756514146464425e-7,5.574001094551402e-10,5.105501290613596e-10,6.003314391044832e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b010110,6,0b0001100011,10]",3.0486081322579556e-7,3.048038377900438e-7,3.0492740473987325e-7,2.0861663650661901e-10,1.7560853170935278e-10,2.503010853045793e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b001011,6,0b0001100011,10]",2.922228538590841e-7,2.921405297362351e-7,2.9236974277313206e-7,3.612474115106504e-10,1.5713967599881546e-10,5.863690143487577e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b011011,6,0b0100110100,10]",3.3861882936826635e-7,3.385758709073329e-7,3.386826635717041e-7,1.6748899225244404e-10,1.2055079949059598e-10,2.3939828947106107e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b001101,6,0b0100110100,10]",3.0772412985234093e-7,3.0764619060214214e-7,3.0781933609158145e-7,2.7334367505482764e-10,1.9849094961450108e-10,3.7901213468279414e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b100101,6,0b0100110100,10]",3.647049446857879e-7,3.6448382625641863e-7,3.648064465967451e-7,4.868437716007316e-10,2.4374576332600923e-10,9.156143941936091e-10
"Bench.Data.DeBruijn.Thinning/thin/[1,0b101111,6,0b0100110100,10]",3.9929199553805683e-7,3.989968612610393e-7,3.996448315471182e-7,1.0812431086393366e-9,8.832180975014486e-10,1.3975755209073304e-9
"Bench.Data.DeBruijn.Thinning/thin/[2,0b111001,6,0b0100110100,10]",3.760931344605272e-7,3.7601379378836055e-7,3.761693040803527e-7,2.526918163313805e-10,2.095008984911002e-10,3.4721579461176785e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b100001,6,0b0100110100,10]",3.668197151363895e-7,3.664948550219532e-7,3.672341573830614e-7,1.2423148244970824e-9,1.0545825668974124e-9,1.4603015631097948e-9
"Bench.Data.DeBruijn.Thinning/thin/[4,0b001100,6,0b0100110100,10]",2.983126291883301e-7,2.9821115275687594e-7,2.9838127450040315e-7,2.755922620930049e-10,1.565550604969162e-10,4.873425476440487e-10
"Bench.Data.DeBruijn.Thinning/thin/[6,0b000000,6,0b0100110100,10]",6.431425094070627e-9,6.4309174501666975e-9,6.4319702614676405e-9,1.7740068444625654e-12,1.4322233305320763e-12,2.250621919171676e-12
"Bench.Data.DeBruijn.Thinning/thin/[3,0b110001,6,0b0100110100,10]",3.771888711977865e-7,3.7702233793778615e-7,3.7745193294719984e-7,6.882946077889256e-10,4.878014879068996e-10,1.1287337006668021e-9
"Bench.Data.DeBruijn.Thinning/thin/[5,0b000001,6,0b0100110100,10]",5.078910005868299e-8,5.076997802031846e-8,5.081058092799725e-8,6.765322550820015e-11,4.903782309737807e-11,9.55965036145691e-11
"Bench.Data.DeBruijn.Thinning/thin/[3,0b010110,6,0b0100110100,10]",3.32158008488969e-7,3.3208795606034083e-7,3.3223529926380323e-7,2.619165213729083e-10,2.319634207889739e-10,2.957846191082426e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b011000,6,0b0100110100,10]",3.2222241002947954e-7,3.22159961446192e-7,3.2229404881929387e-7,2.2703706948389369e-10,1.777656979906656e-10,3.070828232137252e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b100110,6,0b0100110100,10]",3.650166592952537e-7,3.64911018966162e-7,3.654121983521005e-7,5.670970689583902e-10,1.7916422429185237e-10,1.237786251639916e-9
"Bench.Data.DeBruijn.Thinning/thin/[1,0b110111,6,0b0100110100,10]",3.8870789178265915e-7,3.8851326605180805e-7,3.889509094116775e-7,7.313135252371547e-10,6.119836263347505e-10,8.566935220310053e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b010100,6,0b0100110100,10]",3.1472037829557617e-7,3.146557596493315e-7,3.148847618109753e-7,3.2235998613808487e-10,1.6171922073132403e-10,6.164869406608337e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b110100,6,0b0100110100,10]",3.6040967731143943e-7,3.603586765917399e-7,3.604597091143382e-7,1.6817275961525838e-10,1.2699090511509065e-10,2.290295618075788e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b100111,6,0b0100110100,10]",3.734104539179442e-7,3.732357008628729e-7,3.735378275066471e-7,5.195743178324324e-10,3.658306520853192e-10,8.829447075763009e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b101110,6,0b0100110100,10]",3.872619114249455e-7,3.871407607668531e-7,3.8773036474293095e-7,6.79367652467802e-10,1.7419481766745992e-10,1.5211674776490456e-9
"Bench.Data.DeBruijn.Thinning/thin/[2,0b110101,6,0b0100110100,10]",3.703055160587293e-7,3.7025059439741654e-7,3.703696819608477e-7,1.9613469996158493e-10,1.436743773071739e-10,2.7866055716670153e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b010011,6,0b0100110100,10]",3.348799085229151e-7,3.34825410036343e-7,3.3493465570614256e-7,1.853981383406465e-10,1.5732026092212885e-10,2.271823600719662e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b110110,6,0b0100110100,10]",3.841373569201123e-7,3.8394473693160316e-7,3.843463834223204e-7,6.777950978366446e-10,5.939541578318725e-10,8.269378706355674e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b000101,6,0b0100110100,10]",1.7324200327228999e-7,1.732047996668571e-7,1.7334717011336496e-7,1.9359557208971307e-10,9.970891880938842e-11,3.6051578491402967e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b001111,6,0b0100110100,10]",3.237020764749551e-7,3.234173332160414e-7,3.239738599710546e-7,9.37634052949008e-10,8.45544970452875e-10,1.0535283908184214e-9
"Bench.Data.DeBruijn.Thinning/thin/[3,0b101100,6,0b0100110100,10]",3.727019581941269e-7,3.7244755661424003e-7,3.729167695767086e-7,7.900913852545322e-10,6.372459037619417e-10,9.833846274275352e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b011010,6,0b0100110100,10]",3.252244273296316e-7,3.251700021707743e-7,3.2526617479644157e-7,1.6012381175797433e-10,1.218100495188524e-10,2.511135393429818e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b101011,6,0b0100110100,10]",3.749857672032122e-7,3.749356797920959e-7,3.7503883357357726e-7,1.7623988783002621e-10,1.464244523579913e-10,2.126160283250669e-10
"Bench.Data.DeBruijn.Thinning/thin/[5,0b000100,6,0b0100110100,10]",1.6305516520455667e-7,1.6302127124327058e-7,1.6310079844464053e-7,1.28714778007973e-10,9.739843455174181e-11,1.6884395122587241e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b001010,6,0b0100110100,10]",2.9007245880250117e-7,2.899960095523866e-7,2.901499061540444e-7,2.667035540569784e-10,2.263536656227949e-10,3.8267487812893706e-10
"Bench.Data.DeBruijn.Thinning/thin/[1,0b111110,6,0b0100110100,10]",3.950785508028222e-7,3.949534179979185e-7,3.952318416581703e-7,4.552960623661636e-10,3.601160446370776e-10,5.70063907258784e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b101101,6,0b0100110100,10]",3.906162286738661e-7,3.904195497465721e-7,3.9132324757385e-7,1.148749904273823e-9,1.8150019935636632e-10,2.425547464617565e-9
"Bench.Data.DeBruijn.Thinning/thin/[2,0b1001,4,0b0111101010,10]",3.7554176569731483e-7,3.7542723151618684e-7,3.7560236249614367e-7,2.8925090844236667e-10,1.6854301438042545e-10,5.567849338752195e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b0000,4,0b0111101010,10]",6.431708334869519e-9,6.431104665524704e-9,6.432442698965418e-9,2.2355032337374448e-12,1.7474722038233652e-12,3.0900258202652932e-12
"Bench.Data.DeBruijn.Thinning/thin/[2,0b1010,4,0b0111101010,10]",3.7498195740016557e-7,3.748440145769786e-7,3.751421997876838e-7,5.065559524314963e-10,3.831168223633851e-10,6.924819255478015e-10
