Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/[4,0b001001,6,0b0001100011,10]",1.872584590758723e-8,1.8707109788366855e-8,1.875427481825967e-8,7.587736525561835e-11,5.6868280786693297e-11,1.0426648230409972e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b100100,6,0b0001100011,10]",1.8713673879577627e-8,1.8699777470871694e-8,1.873170383193534e-8,5.4000145957589036e-11,4.1830479454666407e-11,6.671681573104613e-11
"Bench.Data.DeBruijn.Thinning/thin/[3,0b110100,6,0b0001100011,10]",1.86998277339217e-8,1.8689824014771974e-8,1.8712725725580204e-8,3.7637985624498724e-11,3.201862955905115e-11,4.580774234855521e-11
"Bench.Data.DeBruijn.Thinning/thin/[2,0b111001,6,0b0001100011,10]",1.8677466214443135e-8,1.86670399726186e-8,1.8699287418458462e-8,4.992477562205702e-11,3.543670562580603e-11,7.182641789561858e-11
"Bench.Data.DeBruijn.Thinning/thin/[3,0b111000,6,0b0001100011,10]",1.8453246140649512e-8,1.843631903566989e-8,1.8475241340477763e-8,6.295971777435747e-11,4.5525912838065284e-11,8.010926825188528e-11
"Bench.Data.DeBruijn.Thinning/thin/[4,0b011000,6,0b0001100011,10]",1.8461732185384202e-8,1.844649573411625e-8,1.8483954457114433e-8,6.43631795653903e-11,4.911458679427861e-11,8.861163967698333e-11
"Bench.Data.DeBruijn.Thinning/thin/[3,0b001101,6,0b0001100011,10]",1.902687532388066e-8,1.9002924072014814e-8,1.9053244339280377e-8,8.823998472653094e-11,7.036593769435678e-11,1.1931082178210214e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b011011,6,0b0001100011,10]",1.920844085542595e-8,1.9154354585623033e-8,1.9266699177526264e-8,1.8911086722069514e-10,1.630592049725478e-10,2.1952148150378944e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b110001,6,0b0001100011,10]",1.8717463696790025e-8,1.8703253898298127e-8,1.873684060620466e-8,5.584575888753879e-11,4.4108104132829226e-11,6.880986312156583e-11
"Bench.Data.DeBruijn.Thinning/thin/[4,0b101000,6,0b0001100011,10]",1.862563592548846e-8,1.860842201383876e-8,1.8646852157060476e-8,6.633080616664614e-11,4.806536115394897e-11,9.866624357849418e-11
"Bench.Data.DeBruijn.Thinning/thin/[4,0b001100,6,0b0001100011,10]",1.9239988276881334e-8,1.917719112054235e-8,1.929709888195214e-8,1.9061531602004775e-10,1.5544490568422552e-10,2.289178958049247e-10
"Bench.Data.DeBruijn.Thinning/thin/[2,0b111010,6,0b0001100011,10]",1.9086772428518743e-8,1.9061086243126056e-8,1.9117500797951503e-8,9.191619146369542e-11,6.865665256598588e-11,1.2146776054610285e-10
