Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Index/thin/[0,0]",5.777770522963709e-9,5.771285628091102e-9,5.783950495068502e-9,2.150347580292247e-11,1.8472582268052233e-11,2.5666986530166284e-11
"Bench.Data.DeBruijn.Index/thin/[0,5]",5.840267649407282e-9,5.83116141285467e-9,5.8468764770616245e-9,2.5944582056118148e-11,2.05671933197006e-11,3.7173165780287825e-11
"Bench.Data.DeBruijn.Index/thin/[0,10]",5.928409823638706e-9,5.921192875069944e-9,5.932722488817618e-9,1.8241919778866088e-11,1.2863883079021266e-11,3.034609185038347e-11
"Bench.Data.DeBruijn.Index/thin/[0,15]",5.9233648528025185e-9,5.918047250323443e-9,5.927729378643122e-9,1.5972889837304174e-11,1.3269508933075824e-11,2.2219432437727993e-11
"Bench.Data.DeBruijn.Index/thin/[0,20]",5.933454220728891e-9,5.921250220106328e-9,5.936497514717814e-9,1.8437987890330486e-11,2.0554159031020798e-12,4.206781698742631e-11
"Bench.Data.DeBruijn.Index/thin/[0,25]",5.93374347299989e-9,5.933290583875498e-9,5.934356483798916e-9,1.8222340666551547e-12,1.4186182022375856e-12,2.4554016272439426e-12
"Bench.Data.DeBruijn.Index/thin/[0,30]",5.936532560601771e-9,5.9359270901335345e-9,5.937304029526069e-9,2.2325700210331137e-12,1.7502930955719489e-12,3.076917121665085e-12
"Bench.Data.DeBruijn.Index/thin/[0,35]",5.935354362891028e-9,5.932860096956402e-9,5.936513131843274e-9,5.467196191710034e-12,3.0522090032495086e-12,9.797713189027015e-12
"Bench.Data.DeBruijn.Index/thin/[0,40]",5.936261175585169e-9,5.935577039116526e-9,5.937573995665675e-9,3.1936194397808095e-12,2.1281998697664263e-12,5.715925439996996e-12
"Bench.Data.DeBruijn.Index/thin/[0,45]",5.934865424182167e-9,5.934377101804177e-9,5.935511955090846e-9,1.801927590032804e-12,1.50450833306192e-12,2.2007597812177316e-12
"Bench.Data.DeBruijn.Index/thin/[0,50]",5.941298302008925e-9,5.934163648331622e-9,5.965902280538839e-9,3.992471769798376e-11,8.590039170103298e-12,8.364283543211951e-11
"Bench.Data.DeBruijn.Index/thin/[0,55]",5.936628739482142e-9,5.936025148469994e-9,5.937578647987972e-9,2.5564924105226667e-12,1.874313335618258e-12,3.746944448316532e-12
"Bench.Data.DeBruijn.Index/thin/[0,60]",5.9367180395093885e-9,5.936087812627131e-9,5.937587795534414e-9,2.585363693256729e-12,1.7824693619472073e-12,3.8339443673394975e-12
"Bench.Data.DeBruijn.Index/thin/[0,65]",5.936189635564384e-9,5.933579262244316e-9,5.9376159127755e-9,6.203117844461357e-12,3.3548260315361484e-12,1.3051912211010522e-11
"Bench.Data.DeBruijn.Index/thin/[0,70]",5.941166436230761e-9,5.936220713995379e-9,5.9604845854169984e-9,2.7059458885583033e-11,2.1796612337727253e-12,6.034422870368688e-11
"Bench.Data.DeBruijn.Index/thin/[0,75]",5.936836121674391e-9,5.935539676199033e-9,5.941578862190625e-9,7.323301314982168e-12,1.648640567464013e-12,1.526219561732813e-11
"Bench.Data.DeBruijn.Index/thin/[0,80]",5.93645773356693e-9,5.935810363154179e-9,5.937324504544904e-9,2.4531469166128144e-12,1.7508983536685935e-12,3.461238008125341e-12
"Bench.Data.DeBruijn.Index/thin/[0,85]",5.935434466937748e-9,5.934040536581525e-9,5.936155410241135e-9,3.3850947452920963e-12,1.7619971033919645e-12,5.894062440092968e-12
