Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Index/thin/[0,0]",9.961481579776457e-9,9.93887737091852e-9,1.0006120698674062e-8,1.030047083148338e-10,5.788754257971713e-11,1.6602485789400162e-10
"Data.DeBruijn.Index/thin/[0,5]",1.5710597358821647e-8,1.569033716495984e-8,1.5754987042086748e-8,9.632985707551415e-11,5.18198651293305e-11,1.7844667765724988e-10
"Data.DeBruijn.Index/thin/[0,10]",2.1456844334846806e-8,2.1427268768405043e-8,2.1507023869060134e-8,1.277478063813377e-10,9.161332684255251e-11,1.8898878642975876e-10
"Data.DeBruijn.Index/thin/[0,15]",2.7256812153204044e-8,2.7206419061229524e-8,2.7333802142384715e-8,2.0031232577478308e-10,1.444527346038512e-10,3.140397635261969e-10
"Data.DeBruijn.Index/thin/[0,20]",3.290830679810367e-8,3.2876058298174717e-8,3.2967312111647195e-8,1.4022131795768173e-10,9.836268897592888e-11,2.264148542138042e-10
"Data.DeBruijn.Index/thin/[0,25]",3.873998850233208e-8,3.8672302922274124e-8,3.8934178418079866e-8,3.6096834145673086e-10,1.9710535699522118e-10,6.34678820521678e-10
"Data.DeBruijn.Index/thin/[0,30]",4.447169956893267e-8,4.439697785295677e-8,4.4594662879930246e-8,3.0818279718986105e-10,2.0996480774597558e-10,4.387512875077439e-10
"Data.DeBruijn.Index/thin/[0,35]",5.02196903936917e-8,5.013720190696596e-8,5.0351209085423527e-8,3.449871737710496e-10,2.2159095598352038e-10,4.867229810585427e-10
"Data.DeBruijn.Index/thin/[0,40]",5.600093160753702e-8,5.590410906409835e-8,5.612383977071627e-8,3.604332876612288e-10,2.6749880900876825e-10,4.901831300398621e-10
"Data.DeBruijn.Index/thin/[0,45]",6.171243435919343e-8,6.159813244336129e-8,6.200342723119726e-8,5.689632266878375e-10,2.2675910276791954e-10,1.0832445932014618e-9
"Data.DeBruijn.Index/thin/[0,50]",6.750588473549217e-8,6.739902189174136e-8,6.767562540365365e-8,4.67678739930777e-10,2.9062639350126906e-10,7.418111189420054e-10
"Data.DeBruijn.Index/thin/[0,55]",7.323255857248482e-8,7.313136004259122e-8,7.342424693315897e-8,4.395247896988258e-10,2.8937261710153943e-10,7.149865768876649e-10
"Data.DeBruijn.Index/thin/[0,60]",7.897438029214379e-8,7.886539423671213e-8,7.911744790698182e-8,4.2617473625710643e-10,2.9951155314434906e-10,5.366339621269054e-10
"Data.DeBruijn.Index/thin/[0,65]",9.237467901398858e-8,9.224198372854399e-8,9.258085611404926e-8,5.293432616530091e-10,3.612825042690218e-10,7.421381787343339e-10
"Data.DeBruijn.Index/thin/[0,70]",1.0149937607521405e-7,1.013388378580213e-7,1.0188876426533075e-7,7.756230677712548e-10,4.6077189987018273e-10,1.528089915223866e-9
"Data.DeBruijn.Index/thin/[0,75]",9.628390355922508e-8,9.609009179541678e-8,9.677856860258661e-8,9.69470454278063e-10,4.887350601570772e-10,1.8624466030700009e-9
"Data.DeBruijn.Index/thin/[0,80]",1.0200531820112819e-7,1.018660127738896e-7,1.0221807566154355e-7,5.467230174814576e-10,3.6988852830246317e-10,7.26528470623661e-10
"Data.DeBruijn.Index/thin/[0,85]",1.0779684960699255e-7,1.0762098542781294e-7,1.0810377124419149e-7,7.134295156153089e-10,4.623398337988891e-10,1.1826393818441674e-9
"Data.DeBruijn.Index/thin/[0,90]",1.1352066600047073e-7,1.133833328624008e-7,1.1376485358213113e-7,5.815162670946435e-10,3.9921717882378225e-10,8.524223387535407e-10
"Data.DeBruijn.Index/thin/[0,95]",1.2682874117303416e-7,1.2666169291281667e-7,1.2719403754296852e-7,8.488139276468246e-10,4.178813610702701e-10,1.6601928674450794e-9
"Data.DeBruijn.Index/thin/[0,100]",1.359783440193993e-7,1.3580872796503336e-7,1.3619111673809138e-7,6.636089112861281e-10,4.540522071091488e-10,8.968417857603066e-10
"Data.DeBruijn.Index/thin/[5,0]",9.036865057730886e-9,9.007766393031963e-9,9.084954655525017e-9,1.2466061074067514e-10,7.554973356458885e-11,1.9661409503843624e-10
"Data.DeBruijn.Index/thin/[5,5]",5.185155123805633e-8,5.17235197261265e-8,5.2265216664366224e-8,6.860537241954274e-10,1.9024632473721083e-10,1.3829184339400964e-9
"Data.DeBruijn.Index/thin/[5,10]",5.543697719600104e-8,5.5333024675186126e-8,5.5660189998835936e-8,4.948859799889807e-10,2.832617175777869e-10,8.694115022735495e-10
"Data.DeBruijn.Index/thin/[5,15]",6.114207971049911e-8,6.101453853403581e-8,6.143222665875653e-8,5.903916352968672e-10,3.1388883479673977e-10,1.0029879867276896e-9
"Data.DeBruijn.Index/thin/[5,20]",6.683294889915717e-8,6.674388454598504e-8,6.70028970376186e-8,3.86416580675697e-10,2.6100169425175985e-10,5.492943822698585e-10
"Data.DeBruijn.Index/thin/[5,25]",7.238644545208475e-8,7.23212855513787e-8,7.248149179031317e-8,2.5674654787631744e-10,1.8437254385336874e-10,3.718681020107308e-10
"Data.DeBruijn.Index/thin/[5,30]",8.030110204354961e-8,8.015600138933215e-8,8.057337320747063e-8,6.565381879353696e-10,4.0256098810254173e-10,1.1901066337554924e-9
"Data.DeBruijn.Index/thin/[5,35]",8.58090826978606e-8,8.570626655721415e-8,8.593130192441416e-8,3.978084076065407e-10,3.089981881011646e-10,5.161050370513061e-10
"Data.DeBruijn.Index/thin/[5,40]",9.159078565385727e-8,9.138700694989438e-8,9.21205910955881e-8,1.0094141257305636e-9,4.6430525359883843e-10,1.863545773355763e-9
"Data.DeBruijn.Index/thin/[5,45]",9.740622209094518e-8,9.721657573470253e-8,9.770656387198192e-8,7.609568886164319e-10,5.516084620699176e-10,1.1141487905365874e-9
"Data.DeBruijn.Index/thin/[5,50]",1.0300522555625837e-7,1.0284722166176518e-7,1.0325014453025576e-7,6.341665007277561e-10,4.779944665681742e-10,9.116722153561677e-10
