Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Index/thin/[0,0]",6.282498696120562e-9,6.271480971595776e-9,6.294872689007974e-9,3.829017958510823e-11,2.9160594081274023e-11,5.389607612391341e-11
"Bench.Data.DeBruijn.Index/thin/[0,5]",9.388508011988598e-9,9.370162490953047e-9,9.403924751048213e-9,5.62801295793066e-11,4.2004661945842114e-11,7.633247396027057e-11
"Bench.Data.DeBruijn.Index/thin/[0,10]",1.1925696709781252e-8,1.189360959928123e-8,1.1959082389903742e-8,1.0874523286315625e-10,9.055195962399207e-11,1.327800334829808e-10
"Bench.Data.DeBruijn.Index/thin/[0,15]",1.4559971622565785e-8,1.4489333293000967e-8,1.4642883459725488e-8,2.6654383834912967e-10,2.2921073390334015e-10,3.646316984988914e-10
"Bench.Data.DeBruijn.Index/thin/[0,20]",1.6759825366769663e-8,1.6721506065781992e-8,1.681707345487556e-8,1.611510247118918e-10,1.1600396010661433e-10,2.230200268793533e-10
"Bench.Data.DeBruijn.Index/thin/[0,25]",1.924123678011401e-8,1.9201207338461833e-8,1.9280901404979823e-8,1.3247185516178366e-10,1.1252059690448251e-10,1.611402957481148e-10
"Bench.Data.DeBruijn.Index/thin/[0,30]",2.1668291640315148e-8,2.1612722487545627e-8,2.1774005753253038e-8,2.5661139583558747e-10,1.2773751674770505e-10,4.47040150184457e-10
"Bench.Data.DeBruijn.Index/thin/[0,35]",2.414898128491433e-8,2.4101941703329322e-8,2.4207743600453803e-8,1.8184228441516274e-10,1.3704129184643376e-10,2.8195237193530837e-10
"Bench.Data.DeBruijn.Index/thin/[0,40]",2.6760893781049186e-8,2.6708568255529795e-8,2.684266849351989e-8,2.1175183034386268e-10,1.5123458591241243e-10,3.418199654619756e-10
"Bench.Data.DeBruijn.Index/thin/[0,45]",2.8963895800986522e-8,2.8910783831212344e-8,2.9015136259176626e-8,1.7636480094678328e-10,1.4683673739241798e-10,2.1810450738815347e-10
"Bench.Data.DeBruijn.Index/thin/[0,50]",3.161617413772335e-8,3.155559839911695e-8,3.169150545752414e-8,2.215046919761592e-10,1.6385837083168688e-10,3.4169562258737903e-10
"Bench.Data.DeBruijn.Index/thin/[0,55]",3.3994034393996976e-8,3.3936778295598494e-8,3.4105552465165e-8,2.627246440853165e-10,1.631372279582059e-10,4.644619981810224e-10
"Bench.Data.DeBruijn.Index/thin/[0,60]",5.3998518277152116e-8,5.3886447006848146e-8,5.409281857867289e-8,3.396412585042506e-10,2.8811243891550176e-10,3.9530366884490786e-10
"Bench.Data.DeBruijn.Index/thin/[0,65]",5.7663146117844887e-8,5.752308788994974e-8,5.7772256782660506e-8,4.1820782834122985e-10,3.371012028366048e-10,5.748852933276075e-10
"Bench.Data.DeBruijn.Index/thin/[0,70]",6.148195863975807e-8,6.12459864852902e-8,6.184238408465636e-8,9.646990915749003e-10,7.510381841091998e-10,1.1917046753888774e-9
"Bench.Data.DeBruijn.Index/thin/[0,75]",6.492537399634517e-8,6.474640202581884e-8,6.517070695857854e-8,6.718683694960252e-10,4.62033054922953e-10,1.1167349988049195e-9
"Bench.Data.DeBruijn.Index/thin/[0,80]",6.842131435507868e-8,6.827691832666639e-8,6.85652000361095e-8,5.061236736604692e-10,4.1882740390972385e-10,6.409647800198977e-10
"Bench.Data.DeBruijn.Index/thin/[0,85]",7.191136751920587e-8,7.173349616050049e-8,7.204301799913313e-8,4.993792604827511e-10,4.0390210068592626e-10,6.32404249516578e-10
