Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",6.439321516737e-8,6.407852847229669e-8,6.516551924703235e-8,1.5657831160357452e-9,7.532658681319298e-10,2.8873252535625097e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",6.72613908473739e-8,6.696613548513732e-8,6.810429269826772e-8,1.5886419626990145e-9,5.869236546889668e-10,3.380941508629553e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",6.653981685686747e-8,6.642613163738458e-8,6.670900542217871e-8,4.595832486967662e-10,3.5744156807314663e-10,6.38137205393264e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",6.590048107571733e-8,6.579821415106224e-8,6.603294564835472e-8,3.617441848826055e-10,2.808916863593554e-10,4.3327639388358234e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",6.283699193892316e-8,6.277858817809953e-8,6.29338294818549e-8,2.4055792911111474e-10,1.617053487551654e-10,3.939353158537954e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",6.171101237565654e-8,6.163249015072118e-8,6.184093781535122e-8,3.2886072716693477e-10,2.3021548605801527e-10,4.335256699445879e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",6.724064370302014e-8,6.711768789825501e-8,6.758160926991904e-8,6.395705139741683e-10,3.034639464567892e-10,1.3191186371633374e-9
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",6.768035333381807e-8,6.752327692652532e-8,6.796463438224615e-8,6.767003553940235e-10,4.503723101500245e-10,1.0132255511357157e-9
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",6.583069439293074e-8,6.570325195242192e-8,6.604131495802232e-8,5.537052097525741e-10,3.415701806242785e-10,8.40503967178124e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",6.280374146695379e-8,6.2691212036234e-8,6.309086314213802e-8,5.918817864493656e-10,2.599348189500455e-10,1.0555242794605677e-9
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",6.42387952977603e-8,6.413853978765951e-8,6.442032967550116e-8,4.2850831367802124e-10,2.5608905186908097e-10,7.451538100152364e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",6.568501948251557e-8,6.551002406353688e-8,6.593484445521613e-8,7.039995078767955e-10,5.264403290973887e-10,9.282065948944819e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",6.575143754152505e-8,6.565042448599387e-8,6.606476855893924e-8,5.172196039688304e-10,2.4419604457849937e-10,1.0205589797807968e-9
"Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",4.2380252568290876e-8,4.228579278626101e-8,4.253683581317746e-8,4.1858253612874677e-10,2.672976351197653e-10,6.395277940979996e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",6.929383858771579e-8,6.921069296527384e-8,6.945073369698617e-8,3.751837816352673e-10,2.0394435500945243e-10,7.496572166172839e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",6.97946833687602e-8,6.960507137874258e-8,7.013642933206096e-8,8.336118702505373e-10,4.4686325672516904e-10,1.3584602931432126e-9
