Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",4.1032693220082796e-8,4.102324961498551e-8,4.1043362151253755e-8,3.437115688221096e-11,2.698214206004465e-11,4.191166010930763e-11
"Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",3.9678933060628345e-8,3.965173623246755e-8,3.9714730423353455e-8,1.0099575416024433e-10,7.883044848902007e-11,1.2986342726106055e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",4.0809238403541936e-8,4.0778884690635944e-8,4.083498975599935e-8,9.474442972509032e-11,7.568608609515335e-11,1.2517687426183365e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",4.3176828304721964e-8,4.31602465342715e-8,4.320349857446959e-8,7.001367799054884e-11,4.506150008687529e-11,1.2318451454729678e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",4.0426954489578135e-8,4.0416634405926504e-8,4.045234543206898e-8,5.230837809462193e-11,2.3636498873393645e-11,9.154880389411301e-11
"Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",3.965811649488563e-8,3.959248286690821e-8,3.973793337534338e-8,2.3159649139423206e-10,1.8663804358533394e-10,2.54180242689704e-10
"Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",3.997520157890116e-8,3.995755462844646e-8,3.999697451048737e-8,6.603574298755152e-11,3.088928002763362e-11,1.2034661108046655e-10
"Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",4.3316501074182225e-8,4.330970186993674e-8,4.332383422607001e-8,2.2902102161643853e-11,1.9571306572637746e-11,2.8649118049172037e-11
"Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",4.3314331844461775e-8,4.3278902732714855e-8,4.3333486191668525e-8,9.348821806702512e-11,6.885025257423486e-11,1.4084793965450737e-10
"Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",4.182033419669499e-8,4.175123434346035e-8,4.1920516957486566e-8,2.543956722725158e-10,1.7657278833298964e-10,4.3346556143092726e-10
