Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/[4,0b001001,6,0b0001100011,10]",4.016101579448154e-8,4.015698113945069e-8,4.0165270766663824e-8,1.373607493486448e-11,1.092387973316174e-11,1.733849024461422e-11
"Bench.Data.DeBruijn.Thinning/thin/[4,0b100100,6,0b0001100011,10]",3.8809099483208946e-8,3.879640634746037e-8,3.8843593529721e-8,6.618540381209342e-11,2.8943543344084493e-11,1.2898362751227764e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b110100,6,0b0001100011,10]",4.020996989523722e-8,4.0206537880425274e-8,4.0216261214026996e-8,1.4880263605839784e-11,9.937258513133013e-12,2.5525109518378043e-11
"Bench.Data.DeBruijn.Thinning/thin/[2,0b111001,6,0b0001100011,10]",4.2296954252708e-8,4.2293112569513014e-8,4.2301049909622186e-8,1.3022911932845132e-11,1.0857834531079233e-11,1.665782218587146e-11
"Bench.Data.DeBruijn.Thinning/thin/[3,0b111000,6,0b0001100011,10]",3.998901803966252e-8,3.997345562079212e-8,4.005739649447662e-8,9.199746033761334e-11,1.7712623783770114e-11,2.0780929227730187e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b011000,6,0b0001100011,10]",3.942899664457984e-8,3.9368941187235764e-8,3.950772581397669e-8,2.5101909061321676e-10,2.1210761426422399e-10,3.349386771886037e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b001101,6,0b0001100011,10]",3.868974584232305e-8,3.868501191101394e-8,3.869662895081358e-8,1.9898501896955095e-11,1.3974652314922647e-11,3.2000336569224306e-11
"Bench.Data.DeBruijn.Thinning/thin/[2,0b011011,6,0b0001100011,10]",4.185720767150674e-8,4.181484013996968e-8,4.1885295903257445e-8,1.1123467426743853e-10,8.81493055140842e-11,1.5694869213773897e-10
"Bench.Data.DeBruijn.Thinning/thin/[3,0b110001,6,0b0001100011,10]",4.231640922826463e-8,4.231181058866721e-8,4.2322989262019704e-8,1.896566823181028e-11,1.3940183087668172e-11,2.5330326703237675e-11
"Bench.Data.DeBruijn.Thinning/thin/[4,0b101000,6,0b0001100011,10]",4.117509095777783e-8,4.1117958952020316e-8,4.127076651859751e-8,2.5243707702462604e-10,1.4381728767223352e-10,3.773739409738069e-10
"Bench.Data.DeBruijn.Thinning/thin/[4,0b001100,6,0b0001100011,10]",3.704936458268378e-8,3.704434528017146e-8,3.705385963434815e-8,1.6441924301794497e-11,1.3745315429535222e-11,2.0374221384533507e-11
"Bench.Data.DeBruijn.Thinning/thin/[2,0b111010,6,0b0001100011,10]",4.118334242964597e-8,4.1176376950592305e-8,4.119506827665371e-8,3.034980597875472e-11,1.6916390178744888e-11,5.6608867294715086e-11
"Bench.Data.DeBruijn.Thinning/thin/[3,0b101010,6,0b0001100011,10]",4.11990803126756e-8,4.113583848043849e-8,4.137013739435977e-8,3.354325194861015e-10,6.945866836378485e-11,6.662620781290958e-10
"Bench.Data.DeBruijn.Thinning/thin/[5,0b000010,6,0b0001100011,10]",2.763863703464944e-8,2.7618870898642776e-8,2.7662578241244568e-8,7.164590891196071e-11,5.5717525474125886e-11,9.982064409838302e-11
