Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001001,6,0b0001100011,10]",2.7450613292123086e-8,2.727373709517176e-8,2.7643738064548548e-8,6.056830967177361e-10,5.521379170300999e-10,6.828897130913158e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b100100,6,0b0001100011,10]",3.0245560212491003e-8,3.005873098833389e-8,3.037016852435018e-8,5.282338949853096e-10,3.2980237985012665e-10,7.93022534817834e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110100,6,0b0001100011,10]",3.0047875984001744e-8,2.9836813091656344e-8,3.0166922418609377e-8,5.219605923823661e-10,3.3236881402534715e-10,7.297242237383213e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111001,6,0b0001100011,10]",2.8344487165669075e-8,2.8223657002885413e-8,2.8525661357438022e-8,4.871909047200708e-10,3.999798415186173e-10,6.0380634474318e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b111000,6,0b0001100011,10]",2.8084926778723793e-8,2.7761881561006606e-8,2.832503032881098e-8,9.41643126539741e-10,8.048075541852492e-10,1.0858301085610863e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b011000,6,0b0001100011,10]",2.7268595737595702e-8,2.7001199225295036e-8,2.7558671009987686e-8,1.0000673133171506e-9,8.884566734774893e-10,1.1617449205767533e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b001101,6,0b0001100011,10]",2.853685948456487e-8,2.829053889658322e-8,2.885393698200809e-8,8.907258012903824e-10,7.876429947373623e-10,1.009491957390042e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b011011,6,0b0001100011,10]",2.8841644560180958e-8,2.8780282377365745e-8,2.893185971509668e-8,2.5255142758559796e-10,1.929417601636109e-10,3.141856527633635e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b110001,6,0b0001100011,10]",2.7947076459333334e-8,2.785444778820391e-8,2.80724255164033e-8,3.6761858536659675e-10,2.428243482011119e-10,5.652530537000741e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b101000,6,0b0001100011,10]",2.7768236726516702e-8,2.7506145370478577e-8,2.802894973339184e-8,9.210871994173563e-10,8.15863577030258e-10,1.039125655928573e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[4,0b001100,6,0b0001100011,10]",2.8861417736448753e-8,2.8638190212103048e-8,2.9056611824593643e-8,7.099009467730952e-10,5.753452421890319e-10,8.4295869482222e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b111010,6,0b0001100011,10]",2.8541712857066704e-8,2.843323589212976e-8,2.8717607107008683e-8,4.49424594424039e-10,3.29228901923134e-10,5.78477735614553e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b101010,6,0b0001100011,10]",2.8849038599794315e-8,2.8675493167454452e-8,2.9040383118582853e-8,5.854104132501624e-10,5.125755602910759e-10,6.451784593653811e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[5,0b000010,6,0b0001100011,10]",1.9033040608045773e-8,1.8977840970854e-8,1.9097026381523168e-8,1.9473861896010288e-10,1.6476999199607961e-10,2.45490823819995e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100011,6,0b0001100011,10]",2.961368948247696e-8,2.9529418361771263e-8,2.9696201537285358e-8,2.8745209853661774e-10,2.571792314212659e-10,3.1773188556065167e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b100110,6,0b0001100011,10]",3.014148892637712e-8,2.9963683161023323e-8,3.0305418020786334e-8,5.934604629036657e-10,5.058832719288494e-10,7.111222675644646e-10
"Bench.Data.DeBruijn.Thinning/thin/samples1/[2,0b101101,6,0b0001100011,10]",2.995635918997815e-8,2.966796051552787e-8,3.020609891407863e-8,9.228171456651978e-10,8.299286499831321e-10,1.0146457044408871e-9
"Bench.Data.DeBruijn.Thinning/thin/samples1/[3,0b011001,6,0b0001100011,10]",2.7848493200198057e-8,2.7661685961051452e-8,2.8116502503939476e-8,7.518799517952993e-10,5.318856158021142e-10,1.1371468032527847e-9
