Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Index/thin/[0,0]",7.532758993730654e-9,7.52958824839267e-9,7.543280180380269e-9,1.8027009200936598e-11,3.7494026029574785e-12,3.7766950434464486e-11
"Bench.Data.DeBruijn.Index/thin/[0,5]",1.0987269412558674e-8,1.0985960161301315e-8,1.098874434610918e-8,4.8485883307730444e-12,3.709502758418795e-12,7.024898825180524e-12
"Bench.Data.DeBruijn.Index/thin/[0,10]",1.3635391647074007e-8,1.3634055655367885e-8,1.3637566250275063e-8,5.141474317851219e-12,3.775698598670219e-12,7.514970634518309e-12
"Bench.Data.DeBruijn.Index/thin/[0,15]",1.630566026172523e-8,1.6304081461391136e-8,1.6307343363032563e-8,5.641021676810146e-12,4.408651899479157e-12,7.183049007043598e-12
"Bench.Data.DeBruijn.Index/thin/[0,20]",1.8956418044697805e-8,1.895455995306586e-8,1.8958449683101467e-8,6.94796178581446e-12,5.108694423972062e-12,1.0546594903896138e-11
"Bench.Data.DeBruijn.Index/thin/[0,25]",2.1626831261136087e-8,2.162416652645851e-8,2.1629261969614316e-8,8.24686527433876e-12,5.882059686537993e-12,1.2899876794222166e-11
"Bench.Data.DeBruijn.Index/thin/[0,30]",2.4392599937241026e-8,2.4357129679220943e-8,2.4433127338033917e-8,1.2006531661304642e-10,1.004416813500205e-10,1.300660030518045e-10
"Bench.Data.DeBruijn.Index/thin/[0,35]",2.742489476563585e-8,2.742307107731442e-8,2.7426690455945846e-8,6.177651242569588e-12,5.171237427890469e-12,8.07142108279987e-12
"Bench.Data.DeBruijn.Index/thin/[0,40]",3.197437827274321e-8,3.19557480377536e-8,3.198833921919333e-8,5.262252496489009e-11,4.25912679115498e-11,6.96242998245831e-11
"Bench.Data.DeBruijn.Index/thin/[0,45]",3.911850986171298e-8,3.9110262589472206e-8,3.9123698002391534e-8,2.2692172722963282e-11,1.580883226078089e-11,3.1921085049698e-11
"Bench.Data.DeBruijn.Index/thin/[0,50]",4.437592282080156e-8,4.436187905019249e-8,4.438661739181633e-8,4.244097083437574e-11,3.535314951562782e-11,5.2638762777137176e-11
"Bench.Data.DeBruijn.Index/thin/[0,55]",5.034532907167897e-8,5.0340052404945167e-8,5.034962942812941e-8,1.5818941461590143e-11,1.3052413205021128e-11,2.0012100648084233e-11
"Bench.Data.DeBruijn.Index/thin/[0,60]",7.830124298392854e-8,7.812144544617956e-8,7.882531842341298e-8,9.051529590613208e-10,2.658243728818001e-11,1.8154351393710902e-9
"Bench.Data.DeBruijn.Index/thin/[0,65]",8.423022649591527e-8,8.422529393687848e-8,8.423483685756633e-8,1.6512218093268644e-11,1.2745466202307129e-11,2.1981390068304357e-11
