Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Bench.Data.DeBruijn.Index/thin/Unsafe/[0,0]",6.1720799039256615e-9,6.168734044867594e-9,6.177286339984849e-9,1.3784881007581585e-11,9.515231078349307e-12,2.1137700469883338e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[0,1]",6.179174419492689e-9,6.174681082937621e-9,6.188596621012493e-9,1.9144149412998877e-11,1.0216543742134706e-11,3.2178354233451416e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[0,100]",6.179487261159678e-9,6.175990866926407e-9,6.184827806304963e-9,1.4643498822000204e-11,9.569481013364505e-12,2.207327904406798e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[10,0]",6.137327531278807e-9,6.133596482020089e-9,6.143229181819711e-9,1.582870847270875e-11,8.79694869636497e-12,2.360096822798303e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[10,9]",6.140700161123653e-9,6.137090409938675e-9,6.146095453659255e-9,1.5927147175068936e-11,1.1080669928351003e-11,2.171949079444218e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[10,10]",6.18388849105022e-9,6.176904792679556e-9,6.196397567814306e-9,2.9152817950093533e-11,1.8204649246013044e-11,4.213527996172277e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[10,11]",6.179241534463607e-9,6.174215114168131e-9,6.1873425068458016e-9,2.1332651349792442e-11,1.4173338467320562e-11,3.0128325443243244e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[10,100]",6.176972394509601e-9,6.170896896821857e-9,6.185877808475053e-9,2.473483818848332e-11,1.5266174298396595e-11,3.364570641666971e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[20,0]",6.1387635378055565e-9,6.132662213845807e-9,6.152170014983806e-9,3.036953274840011e-11,1.7167835597915532e-11,5.6590439455315355e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[20,19]",6.1384625040332296e-9,6.133360119330448e-9,6.14683641617891e-9,2.1601781685068365e-11,1.5427819245909545e-11,3.047817416766896e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[20,20]",6.182740093830846e-9,6.176319212220152e-9,6.1932973014913695e-9,2.737409321553671e-11,1.7585927188073182e-11,4.477641873867499e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[20,21]",6.181110487616535e-9,6.175298486156796e-9,6.193054350677662e-9,2.617425304726642e-11,1.7209280530210946e-11,4.156846453762316e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[20,100]",6.1837708133036946e-9,6.17754411045769e-9,6.194620483617262e-9,2.4626506995438108e-11,1.6219982219366553e-11,3.484150740774032e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[30,0]",6.138515129414761e-9,6.133056576124036e-9,6.1486513468985755e-9,2.3515014703619915e-11,1.601967769998376e-11,3.620486927320219e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[30,29]",6.143891407003362e-9,6.136665084193905e-9,6.157754658363666e-9,3.4692792634933726e-11,1.9668642347667436e-11,5.306208521292679e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[30,30]",6.17351886092426e-9,6.169906248874632e-9,6.180712503889208e-9,1.6427012945076532e-11,8.666400007884754e-12,2.6183945836612937e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[30,31]",6.180454751748001e-9,6.176735449985569e-9,6.1877434391824726e-9,1.6453917907052906e-11,9.286512880170811e-12,2.915265472220464e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[30,100]",6.17703542584248e-9,6.17320728942014e-9,6.183516655504402e-9,1.6905491043259363e-11,1.0930449189696468e-11,2.3980885265606597e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[40,0]",6.133121709870979e-9,6.129247321009859e-9,6.140642472300599e-9,1.747567788605616e-11,1.0803657187062367e-11,2.8096816113917665e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[40,39]",6.134409134419638e-9,6.131049063599721e-9,6.14109192023091e-9,1.490492726106887e-11,1.0169349359204623e-11,2.3517270471535198e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[40,40]",6.1750274001491865e-9,6.17093701951803e-9,6.184074604371029e-9,2.0321123372657428e-11,1.0666395506335624e-11,3.1243543456087185e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[40,41]",6.17747914581489e-9,6.1726116654539395e-9,6.1881178626859985e-9,2.341635790013394e-11,1.046936348266887e-11,4.1647101710503633e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[40,100]",6.180725537082023e-9,6.175429085553647e-9,6.1960301202692314e-9,2.6793098186535762e-11,1.1750158591105349e-11,5.053940129473103e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[50,0]",6.1342769260349956e-9,6.130792343478308e-9,6.140778921330718e-9,1.5305858361840278e-11,1.0454158278546825e-11,2.1681985309711354e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[50,49]",6.138917331986501e-9,6.134837579181288e-9,6.145957216066767e-9,1.9091005849788774e-11,1.3221148480966907e-11,2.969933027308126e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[50,50]",6.180273967919498e-9,6.176050591456388e-9,6.187118804491175e-9,1.7999869522442054e-11,1.285258670778087e-11,2.3406943411059753e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[50,51]",6.1804455528163344e-9,6.175755875942517e-9,6.189187843093311e-9,2.080097908290577e-11,1.3492705101815654e-11,3.040613090598259e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[50,100]",6.180082799285528e-9,6.174721812215651e-9,6.188758860080876e-9,2.2638352675905422e-11,1.4647599460296245e-11,3.254802372246799e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[60,0]",6.138255799276218e-9,6.133782885680493e-9,6.144959106409551e-9,1.9012205495456928e-11,1.3105853797101313e-11,2.6622568667128373e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[60,59]",6.140449917714254e-9,6.134215238174481e-9,6.150042016712022e-9,2.700454551240768e-11,1.865278373982484e-11,3.7710131996535855e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[60,60]",6.278259242111334e-9,6.2181832211798466e-9,6.413659192466673e-9,2.8938431108582154e-10,1.345953991049548e-10,4.659984320921763e-10
"Bench.Data.DeBruijn.Index/thin/Unsafe/[60,61]",6.188280008903769e-9,6.1798899667026975e-9,6.203503469833605e-9,3.741769956479243e-11,2.2553392250894845e-11,6.486407381779319e-11
"Bench.Data.DeBruijn.Index/thin/Unsafe/[60,100]",6.184545021490933e-9,6.177128047193931e-9,6.1953333108622055e-9,2.907896831203069e-11,1.924034992046253e-11,3.9371443900154274e-11
